fsym_id,bbgid
FXTG1M-R,BBG0059FN811
JFVMGG-R,BBG000BJ98Z0
JFW9S3-R,BBG000BHZ5J9
F17RG0-R,BBG000GXPGB4
C7C9TP-R,BBG00BN96922
KK1YRK-R,BBG000CX0P89
BGYBPV-R,BBG000BDTNN1
FBC2XZ-R,BBG000BB8PG1
GF5S48-R,BBG000BBDW52
VFT0VQ-R,BBG000BDDNH5
Q7GYJ6-R,BBG000BRSL64
PBZ9B0-R,BBG000JK7836
WQK5W2-R,BBG000C2ZCH8
H79F60-R,BBG000BH5VD1
J9F59G-R,BBG000BB5373
RHZ062-R,BBG000BNTC17
RQXL78-R,BBG000BNMMJ3
L32L1Q-R,BBG000HHJLP9
VT8FQ8-R,BBG000BLYWS2
GGS0YC-R,BBG000JL0ZT3
NLDFD3-R,BBG000CKHXP3
G49BPN-R,BBG000BWTBX4
HKL2Z2-R,BBG000BP6J21
B963SL-R,BBG000HV1FL4
KZKFX9-R,BBG000C4WXH1
RGYN8J-R,BBG000BGPTZ2
JMJFSG-R,BBG000BRHBP7
XMYTFJ-R,BBG000CB8Q50
JT9G6G-R,BBG000BHLCG2
NGW97P-R,BBG000BQHGR6
N7119D-R,BBG000BD3J49
W5QQ9P-R,BBG000NDV1D4
FBB432-R,BBG000BQSQ38
GYM5PB-R,BBG0019LSQ49
D8D820-R,BBG000BS9489
B3DVXC-R,BBG000BJDB15
JMHYW0-R,BBG000BR14K5
BJ2HRV-R,BBG000BT41Q8
DH79H0-R,BBG000BWSV34
GS3RJ8-R,BBG000BY2Y78
V6ZMTG-R,BBG000GC80B4
WGLQTS-R,BBG000H556T9
B71DJZ-R,BBG000CHWP52
HHB3C8-R,BBG000D4LWF6
KPFMHW-R,BBG000L9CV04
G43630-R,BBG000BK2FK4
FT34MX-R,BBG000DZMH32
MTFF9T-R,BBG000BYD720
H7DGWR-R,BBG000BKVJK4
MS9DHY-R,BBG000DR5QP5
PX1NYT-R,BBG000BJQWD2
MVLTQZ-R,BBG000BCQZS4
KV0J41-R,BBG000BMHYD1
BPQB5X-R,BBG000BSG542
MKBN0G-R,BBG000BH30X9
GGJNXG-R,BBG000BQ0543
C46454-R,BBG000DH7ZG5
K8ZYYY-R,BBG000BWLM95
MLQ41B-R,BBG000FQ7YR4
BNJBN6-R,BBG000QTF8K1
RK4MYB-R,BBG000C2NV89
V1H7QF-R,BBG000JJM7R8
T6C8Y9-R,BBG000BNQN34
NXD9CX-R,BBG000BHL1P6
C4HBRT-R,BBG0025Y4RY4
FLFNV4-R,BBG000BVS043
DMR9HD-R,BBG000C3QSJ9
L1TYCG-R,BBG000BQVHQ9
S8T3VQ-R,BBG000BJB299
WL8678-R,BBG000BSG5M2
L7LP86-R,BBG000C23PB0
R2CVVQ-R,BBG000BFP2F5
MQ0Y3T-R,BBG000BWGYF8
GFJGD5-R,BBG000BQC9V2
W81J82-R,BBG000BVXPW1
T7H5H1-R,BBG000BG3445
BYP0PF-R,BBG000C2VBB0
J5WL9M-R,BBG000BNHFB2
CRM0ZW-R,BBG000BS8DF2
KNDVY2-R,BBG000C85DC1
VQXR21-R,BBG00BN961G4
G15019-R,BBG000DR3Z86
CL1QH9-R,BBG000BCMBG4
M77CJG-R,BBG000FQVNV6
H1PMLS-R,BBG000BFQYY3
FS319Q-R,BBG000BJ81C1
FYRXRS-R,BBG000BDGGH7
FJ7TFG-R,BBG000BT66K1
B1C27H-R,BBG000BJ5SS8
H2VPCM-R,BBG000BBGGQ1
LTR512-R,BBG000BFHXY5
JS30TB-R,BBG000FKYVH4
DWPMDP-R,BBG000F3F4Q3
FPP2BC-R,BBG000C1J0Q4
FT8DNV-R,BBG000BP52R2
TZ1NKH-R,BBG000DTMH63
NM8DVF-R,BBG000BJMVN7
JWH12W-R,BBG000BLMY92
T1NQ9P-R,BBG000HNXCQ9
QZ3ZG1-R,BBG000BN53G7
MYW502-R,BBG000BS1YV5
R2D15W-R,BBG000L3R3H5
D1RCCS-R,BBG000BNBPQ0
LF5N4J-R,BBG000BVXRR3
DGBZCC-R,BBG000R7Z112
MBK7R0-R,BBG000DB3KT1
SFLZN9-R,BBG000BVHT97
PHPSQH-R,BBG000BZCKH3
W7SBND-R,BBG000FCB7T7
KFMMZS-R,BBG000FKJRC5
V3MK5N-R,BBG000BBB3K1
R95W9R-R,BBG000C3FGH9
G47LH4-R,BBG000BNY9Q1
KHYCT3-R,BBG000D7RJJ8
TSHY1B-R,BBG000BKGCP1
L6CPTK-R,BBG000BH5DV1
TZ654Q-R,BBG000BLD2P4
BZV4LB-R,BBG000BQZ6X1
PVWPB1-R,BBG000BJ5GK2
TY202Q-R,BBG000JG0547
DJBQ39-R,BBG000BM9RH1
DXW84Y-R,BBG000BT7JW9
M79B89-R,BBG000C2BXK4
C7M7DL-R,BBG000D9DMK0
B6ZP8C-R,BBG000BKY1G5
M9KTQG-R,BBG000BYR208
B3G4BK-R,BBG00D0Y81M1
HN0LVT-R,BBG000PQ6YJ3
LBWNRX-R,BBG000BNC3Y9
BK2FRW-R,BBG000MDCQC2
W13F06-R,BBG000BGNM16
XHJJQT-R,BBG000H07GW2
JBG9LM-R,BBG000BCYP43
K8WB4N-R,BBG000BFDKN9
HNZVK6-R,BBG000BF6LY3
MWKTZ4-R,BBG000FBR384
XQ6H9X-R,BBG000BHRRV6
RDKCLT-R,BBG000BWHD54
PTRY1F-R,BBG000BZX1N5
W5NBSG-R,BBG000BNF508
W91W1H-R,BBG000BV7LP7
FDS1XB-R,BBG000BJVN28
S8Z499-R,BBG000BX24N8
JXMLY8-R,BBG000BM7HL0
F82H8Q-R,BBG000CC7LQ7
M8XT6B-R,BBG00JHNKJY8
DBNXVB-R,BBG000DWG505
M4VYHK-R,BBG000BRY8B0
DHBWFH-R,BBG000PHCBW1
P0SXV1-R,BBG000FW00S1
J1J3YH-R,BBG000BCT2N9
DTKZ1Y-R,BBG000BCTLF6
V8549L-R,BBG000BDG1Y1
XKT8J2-R,BBG000D2M0Z7
H69CWS-R,BBG002PHSYX9
TWTFJJ-R,BBG000BCWSS3
WW88H5-R,BBG000BR37J8
P31DB7-R,BBG000G0Z878
NK3TVY-R,BBG000JY1YV4
DSBCFQ-R,BBG00D3CHRC0
FLF3SM-R,BBG000BC8G88
XCZXJT-R,BBG000BF4VY3
D2RP35-R,BBG000BCNYT9
C8WF4C-R,BBG000FV1Z23
RTXD8D-R,BBG001P63B80
B6YVPL-R,BBG000BSSL26
M1H0C2-R,BBG000BJ2D31
NNFR4J-R,BBG008NVB1C0
XHD46K-R,BBG000BP4MH0
FPP9SL-R,BBG000G8N9C6
J1CRMD-R,BBG000BF7XZ5
QLRPKF-R,BBG000BD1HP2
BGXVSD-R,BBG000BB5HV5
XF43NV-R,BBG000BDD940
PFCQ7V-R,BBG000BNTTK9
TMTGLT-R,BBG000B9XG87
MKJ8WW-R,BBG000RTDY25
LTN366-R,BBG00KXRCDP0
QTK2TW-R,BBG000BCGY17
P1P032-R,BBG00BLVZ228
QLQKDC-R,BBG000BJKPG0
LPBY77-R,BBG000BBCHT0
S9NVWV-R,BBG000H6HNW3
M4VR3C-R,BBG000BVX9F6
P399DN-R,BBG000DM86Y7
KM5Q58-R,BBG000BSLZY7
BWJ0XK-R,BBG000BZRXH9
LQ7KY5-R,BBG000BLDV98
N7XDM6-R,BBG000BKNX40
BDP5X0-R,BBG000BD43C4
DJC60R-R,BBG000BDXGP9
JWPKK0-R,BBG000F90LL3
QJ9QP4-R,BBG000BG8M31
H8HVG0-R,BBG000BQK1M0
NYJHHY-R,BBG000DMWLJ4
LJKG0W-R,BBG000BFL278
JLJN1K-R,BBG000JGQ3K6
QMJ28H-R,BBG000FK6FG1
R4M2WP-R,BBG000BBCDZ2
C5CPSB-R,BBG000BQWPC5
Q7H95J-R,BBG000DZCFT9
F96XVZ-R,BBG000BH13K9
MDYC2K-R,BBG000F86GP6
F2DFHH-R,BBG000BB07P9
FWHC5K-R,BBG000C2V3D6
Q2W445-R,BBG000BSY3K9
R4M2WP-R,BBG000F3SJC1
NDMDZ3-R,BBG000BN3832
Q78KB6-R,BBG000BN1XR3
XLT03X-R,BBG000BB5792
KFNT6W-R,BBG000J8CD72
M0H6M5-R,BBG000BBPFB9
CPCV0Y-R,BBG000BSFRF3
QWSH60-R,BBG000BKXNH7
D0QHLW-R,BBG000BFL116
TBRYLK-R,BBG000BPTTM2
SW2SHD-R,BBG000BX8P91
NHV4Q7-R,BBG00BN969C1
M3ZJ5T-R,BBG000BW4S46
KL1DV4-R,BBG000BZ2GG4
FR4YZK-R,BBG0088CYPX8
JJ8QPY-R,BBG000BJ27C4
W5MG2M-R,BBG000QLR4R7
VQ0G3H-R,BBG000BV0TZ6
PZ917X-R,BBG000BLKK03
D0LDT1-R,BBG000BQBYR3
GGPDYX-R,BBG000BHLYP4
VBK29Z-R,BBG000C45984
JJ81D9-R,BBG000BRVP70
QWT5HN-R,BBG000F3PLJ2
NB76FG-R,BBG000BGKHZ3
D41CTF-R,BBG000BFXH09
F1F5T3-R,BBG000BB1QF7
DNXNVJ-R,BBG000BV95H9
H68NH2-R,BBG000BN9WT5
JZWRR3-R,BBG000PXDL44
MDLLPL-R,BBG000FKBNC2
RPTY1P-R,BBG000BRJL00
GZKHGQ-R,BBG000C1XVK6
T2ZH1Y-R,BBG000D6L294
DG27Q5-R,BBG000BHX7N2
D4ZPQY-R,BBG000F80SZ5
T3YH93-R,BBG000BKYDP9
C5LR6Y-R,BBG000BDG1C5
RLFBNL-R,BBG000BB94G7
QNWQHD-R,BBG000BD3XR3
RCNCKX-R,BBG00RP60KV0
L4B8W1-R,BBG000C1DCZ4
J6TGHV-R,BBG000DXL393
D8NHSR-R,BBG000BDSP20
TWTDGH-R,BBG000CTQBF3
FT7VMB-R,BBG000BRNGM2
CZBYFY-R,BBG000BMTFR4
TQ7GN6-R,BBG000CQHM38
H1PTZZ-R,BBG000KQF9D9
SX7WGD-R,BBG000GPX385
GQGP3B-R,BBG000BP0929
KFQHFG-R,BBG000QX74T1
MVKZ35-R,BBG000BQ87N0
JVL1QM-R,BBG000F4LN28
TZ2TSL-R,BBG000BWVSR1
GRN6SM-R,BBG000DG5735
SKZRLQ-R,BBG000G3QLY3
JJ39BV-R,BBG000CXYSZ6
L426GG-R,BBG000BJLZP7
F0M88Q-R,BBG000BP22B2
RMFR2L-R,BBG00DL8NMV2
H9SPFD-R,BBG000BK6L72
JXV7LH-R,BBG000CV11C0
CC0C0C-R,BBG000BH3HH0
KM5N16-R,BBG000BFKNN5
LQBB5R-R,BBG000F1ZSQ2
PRGN6N-R,BBG000R7RDB4
HJXXH4-R,BBG001KJ2HM9
W14WTL-R,BBG000DQBZJ7
G3949H-R,BBG000QH56C1
D54BL9-R,BBG000CSY9H9
N18P40-R,BBG000C0MF34
FLDWBD-R,BBG000BZTW70
VYPKC2-R,BBG000BPJH49
PJNB5B-R,BBG000QBR5J5
GRSDSK-R,BBG000BVXVD9
X34XZP-R,BBG000CLWYM5
DNX703-R,BBG000MRMY60
R81DNG-R,BBG000BF1R66
GPL7SL-R,BBG000DSBY06
SQGY1B-R,BBG000BLBXT4
B5TG5C-R,BBG000C15T95
NW728X-R,BBG000FQ6PY6
CN4ZZK-R,BBG000TWC2V5
X498CV-R,BBG000BPJGW0
PKZ95N-R,BBG000BW2QX0
D1RQ13-R,BBG000BKF737
QCSBYD-R,BBG000BNY0W3
W4CL28-R,BBG000BCDWF9
GN6RRQ-R,BBG000BVVQQ8
LQ766T-R,BBG00GVR8YQ9
C326F7-R,BBG000BSHHP2
L5GH02-R,BBG000BK9GF1
MR0PSP-R,BBG000BSC0K9
PRL0HP-R,BBG000BSTQK4
JFW5HZ-R,BBG000FP1N32
CP8GLS-R,BBG000BQYFR9
B6TD5D-R,BBG000C4H302
PKY50L-R,BBG000BFPK65
V2H5QG-R,BBG000B9YJ35
S8TZCD-R,BBG000BK3M37
NFMH78-R,BBG000BD4VG8
PPCTFP-R,BBG000DH7JK6
T7B99L-R,BBG000FXDQK6
J75D6Z-R,BBG000BMLWX8
Q53KKB-R,BBG000B9ZWJ8
BW8YDX-R,BBG000F41W93
CX4TJ0-R,BBG000M5Q7L6
FWJSXX-R,BBG000BJ5HK0
D403D7-R,BBG000HQ7GC7
QHBXV5-R,BBG000BZ9223
QWT5HN-R,BBG000BJB6R0
WYJT0C-R,BBG000FFDM15
WB9TB1-R,BBG000BJNNY2
BXKWLD-R,BBG000BDKN87
VYQ02C-R,BBG000FFH4P5
PD98GG-R,BBG000BKZB36
GX39SV-R,BBG000H7DKN1
F18L0S-R,BBG000BB41G8
PLY42N-R,BBG000D79DL8
CTYNJ1-R,BBG000BK6MB5
TTHGD3-R,BBG000DTC2M9
GZG0VG-R,BBG000BTCFP9
DXZQS6-R,BBG000NSCNT7
D8DLQB-R,BBG000BG7423
VVDXCK-R,BBG000PV2KZ8
FMFR39-R,BBG000BMXK89
JMNLQC-R,BBG000BFT2L4
JLMJK8-R,BBG000BHW4Z7
C0YGQ6-R,BBG002R1CW27
JTC04X-R,BBG000BGRY34
QLGSL2-R,BBG000MM2P62
BRWKF0-R,BBG000BLXZN1
LPRN3T-R,BBG00JHNJW99
F9VYPD-R,BBG0078W3NQ3
L6BT3Q-R,BBG000BL9C59
M1FW60-R,BBG000BW3299
WRVHRX-R,BBG000BSBBP1
JDQ0K1-R,BBG000C7LMS8
XLV24X-R,BBG000BQPC32
DQ8Q0Z-R,BBG000BQ5TD6
J9FK0T-R,BBG000HL7499
HLTRL7-R,BBG000D2C051
J1J74L-R,BBG000BH02B2
B4QKJK-R,BBG000BQ7BF1
