,Declared Date,Dividend Amount,Dividend Frequency,Dividend Type,Ex-Date,Payable Date,Record Date,security
22,2018-10-19,0.01,Monthly,Regular Cash,2018-10-29,2018-11-15,2018-10-30,/bbgid/BBG000NV1YC6
23,2018-09-18,0.01,Monthly,Regular Cash,2018-09-27,2018-10-15,2018-09-28,/bbgid/BBG000NV1YC6
24,2018-08-20,0.01,Monthly,Regular Cash,2018-08-29,2018-09-14,2018-08-30,/bbgid/BBG000NV1YC6
25,2018-07-18,0.01,Monthly,Regular Cash,2018-07-27,2018-08-15,2018-07-30,/bbgid/BBG000NV1YC6
26,2018-06-19,0.01,Monthly,Regular Cash,2018-06-28,2018-07-16,2018-06-29,/bbgid/BBG000NV1YC6
27,2018-05-17,0.01,Monthly,Regular Cash,2018-05-29,2018-06-15,2018-05-30,/bbgid/BBG000NV1YC6
28,2018-04-19,0.01,Monthly,Regular Cash,2018-04-27,2018-05-15,2018-04-30,/bbgid/BBG000NV1YC6
29,2018-03-19,0.01,Monthly,Regular Cash,2018-03-28,2018-04-16,2018-03-29,/bbgid/BBG000NV1YC6
30,2018-02-16,0.01,Monthly,Regular Cash,2018-02-27,2018-03-15,2018-02-28,/bbgid/BBG000NV1YC6
31,2018-01-19,0.01,Monthly,Regular Cash,2018-01-30,2018-02-15,2018-01-31,/bbgid/BBG000NV1YC6
32,2017-12-18,0.01,Monthly,Regular Cash,2017-12-28,2018-01-15,2017-12-29,/bbgid/BBG000NV1YC6
33,2017-11-20,0.01,Monthly,Regular Cash,2017-11-29,2017-12-15,2017-11-30,/bbgid/BBG000NV1YC6
34,2017-10-19,0.01,Monthly,Regular Cash,2017-10-27,2017-11-15,2017-10-30,/bbgid/BBG000NV1YC6
35,2017-09-18,0.01,Monthly,Regular Cash,2017-09-27,2017-10-13,2017-09-28,/bbgid/BBG000NV1YC6
36,2017-08-21,0.01,Monthly,Regular Cash,2017-08-29,2017-09-15,2017-08-31,/bbgid/BBG000NV1YC6
37,2017-07-20,0.01,Monthly,Regular Cash,2017-07-27,2017-08-15,2017-07-31,/bbgid/BBG000NV1YC6
38,2017-06-19,0.01,Monthly,Regular Cash,2017-06-27,2017-07-14,2017-06-29,/bbgid/BBG000NV1YC6
39,2017-05-16,0.01,Monthly,Regular Cash,2017-05-24,2017-06-15,2017-05-26,/bbgid/BBG000NV1YC6
40,2017-04-18,0.01,Monthly,Regular Cash,2017-04-26,2017-05-15,2017-04-28,/bbgid/BBG000NV1YC6
41,2017-03-17,0.01,Monthly,Regular Cash,2017-03-27,2017-04-13,2017-03-29,/bbgid/BBG000NV1YC6
42,2017-02-16,0.01,Monthly,Regular Cash,2017-02-24,2017-03-15,2017-02-28,/bbgid/BBG000NV1YC6
43,2017-01-20,0.01,Monthly,Regular Cash,2017-01-27,2017-02-15,2017-01-31,/bbgid/BBG000NV1YC6
44,2016-12-19,0.01,Monthly,Regular Cash,2016-12-28,2017-01-13,2016-12-30,/bbgid/BBG000NV1YC6
45,2016-11-18,0.01,Monthly,Regular Cash,2016-11-28,2016-12-15,2016-11-30,/bbgid/BBG000NV1YC6
46,2016-10-20,0.01,Monthly,Regular Cash,2016-10-27,2016-11-15,2016-10-31,/bbgid/BBG000NV1YC6
47,2016-09-19,0.01,Monthly,Regular Cash,2016-09-27,2016-10-14,2016-09-29,/bbgid/BBG000NV1YC6
48,2016-08-19,0.01,Monthly,Regular Cash,2016-08-29,2016-09-15,2016-08-31,/bbgid/BBG000NV1YC6
49,2016-07-19,0.01,Monthly,Regular Cash,2016-07-27,2016-08-15,2016-07-29,/bbgid/BBG000NV1YC6
50,2016-06-17,0.01,Monthly,Regular Cash,2016-06-24,2016-07-15,2016-06-28,/bbgid/BBG000NV1YC6
51,2016-05-17,0.01,Monthly,Regular Cash,2016-05-25,2016-06-15,2016-05-27,/bbgid/BBG000NV1YC6
52,2016-04-21,0.01,Monthly,Regular Cash,2016-04-28,2016-05-16,2016-05-02,/bbgid/BBG000NV1YC6
53,2016-02-19,0.01,Monthly,Regular Cash,2016-03-29,2016-04-15,2016-03-31,/bbgid/BBG000NV1YC6
54,2016-02-18,0.03,Monthly,Regular Cash,2016-02-25,2016-03-15,2016-02-29,/bbgid/BBG000NV1YC6
55,2016-01-21,0.03,Monthly,Regular Cash,2016-01-28,2016-02-16,2016-02-01,/bbgid/BBG000NV1YC6
56,2015-12-18,0.03,Monthly,Regular Cash,2015-12-29,2016-01-15,2015-12-31,/bbgid/BBG000NV1YC6
57,2015-11-20,0.03,Monthly,Regular Cash,2015-11-27,2015-12-15,2015-12-01,/bbgid/BBG000NV1YC6
58,2015-10-20,0.05,Monthly,Regular Cash,2015-10-28,2015-11-16,2015-10-30,/bbgid/BBG000NV1YC6
59,2015-09-18,0.05,Monthly,Regular Cash,2015-09-28,2015-10-15,2015-09-30,/bbgid/BBG000NV1YC6
60,2015-08-20,0.05,Monthly,Regular Cash,2015-08-27,2015-09-15,2015-08-31,/bbgid/BBG000NV1YC6
61,2015-07-20,0.05,Monthly,Regular Cash,2015-07-28,2015-08-14,2015-07-30,/bbgid/BBG000NV1YC6
62,2015-06-19,0.05,Monthly,Regular Cash,2015-06-26,2015-07-15,2015-06-30,/bbgid/BBG000NV1YC6
63,2015-05-19,0.05,Monthly,Regular Cash,2015-05-27,2015-06-15,2015-05-29,/bbgid/BBG000NV1YC6
64,2015-04-20,0.05,Monthly,Regular Cash,2015-04-28,2015-05-15,2015-04-30,/bbgid/BBG000NV1YC6
65,2015-03-19,0.05,Monthly,Regular Cash,2015-03-27,2015-04-15,2015-03-31,/bbgid/BBG000NV1YC6
66,2015-02-17,0.09,Monthly,Regular Cash,2015-02-25,2015-03-16,2015-02-27,/bbgid/BBG000NV1YC6
67,2015-01-22,0.09,Monthly,Regular Cash,2015-01-29,2015-02-17,2015-02-02,/bbgid/BBG000NV1YC6
68,2014-12-18,0.09,Monthly,Regular Cash,2014-12-29,2015-01-15,2014-12-31,/bbgid/BBG000NV1YC6
69,2014-11-14,0.09,Monthly,Regular Cash,2014-11-24,2014-12-15,2014-11-26,/bbgid/BBG000NV1YC6
70,2014-10-20,0.09,Monthly,Regular Cash,2014-10-28,2014-11-14,2014-10-30,/bbgid/BBG000NV1YC6
71,2014-09-19,0.09,Monthly,Regular Cash,2014-09-26,2014-10-15,2014-09-30,/bbgid/BBG000NV1YC6
72,2014-08-26,0.09,Monthly,Regular Cash,2014-09-03,2014-09-19,2014-09-05,/bbgid/BBG000NV1YC6
73,2014-07-24,0.09,Monthly,Regular Cash,2014-07-31,2014-08-20,2014-08-05,/bbgid/BBG000NV1YC6
74,2014-06-27,0.09,Monthly,Regular Cash,2014-07-07,2014-07-21,2014-07-09,/bbgid/BBG000NV1YC6
75,2014-05-23,0.09,Monthly,Regular Cash,2014-06-03,2014-06-20,2014-06-05,/bbgid/BBG000NV1YC6
76,2014-04-24,0.09,Monthly,Regular Cash,2014-05-01,2014-05-20,2014-05-05,/bbgid/BBG000NV1YC6
77,2014-03-25,0.09,Monthly,Regular Cash,2014-04-02,2014-04-21,2014-04-04,/bbgid/BBG000NV1YC6
78,2014-02-21,0.09,Monthly,Regular Cash,2014-03-03,2014-03-20,2014-03-05,/bbgid/BBG000NV1YC6
79,2014-01-24,0.09,Monthly,Regular Cash,2014-02-03,2014-02-20,2014-02-05,/bbgid/BBG000NV1YC6
80,2013-12-20,0.09,Monthly,Regular Cash,2014-01-02,2014-01-20,2014-01-06,/bbgid/BBG000NV1YC6
81,2013-11-25,0.09,Monthly,Regular Cash,2013-12-03,2013-12-20,2013-12-05,/bbgid/BBG000NV1YC6
82,2013-10-25,0.09,Monthly,Regular Cash,2013-11-01,2013-11-20,2013-11-05,/bbgid/BBG000NV1YC6
83,2013-09-24,0.09,Monthly,Regular Cash,2013-10-02,2013-10-21,2013-10-04,/bbgid/BBG000NV1YC6
84,2013-08-26,0.09,Monthly,Regular Cash,2013-09-03,2013-09-20,2013-09-05,/bbgid/BBG000NV1YC6
85,2013-07-23,0.09,Monthly,Regular Cash,2013-07-31,2013-08-20,2013-08-02,/bbgid/BBG000NV1YC6
86,2013-06-26,0.09,Monthly,Regular Cash,2013-07-05,2013-07-19,2013-07-09,/bbgid/BBG000NV1YC6
87,2013-05-24,0.09,Monthly,Regular Cash,2013-06-03,2013-06-20,2013-06-05,/bbgid/BBG000NV1YC6
88,2013-04-23,0.09,Monthly,Regular Cash,2013-05-01,2013-05-21,2013-05-03,/bbgid/BBG000NV1YC6
89,2013-03-25,0.09,Monthly,Regular Cash,2013-04-03,2013-04-19,2013-04-05,/bbgid/BBG000NV1YC6
90,2013-02-21,0.09,Monthly,Regular Cash,2013-03-01,2013-03-20,2013-03-05,/bbgid/BBG000NV1YC6
91,2013-01-25,0.09,Monthly,Regular Cash,2013-02-01,2013-02-20,2013-02-05,/bbgid/BBG000NV1YC6
92,2012-12-21,0.09,Monthly,Regular Cash,2013-01-02,2013-01-21,2013-01-04,/bbgid/BBG000NV1YC6
93,2012-11-29,0.09,Monthly,Regular Cash,2012-12-06,2012-12-20,2012-12-10,/bbgid/BBG000NV1YC6
94,2012-10-30,0.09,Monthly,Regular Cash,2012-11-07,2012-11-20,2012-11-09,/bbgid/BBG000NV1YC6
95,2012-09-28,0.09,Monthly,Regular Cash,2012-10-05,2012-10-19,2012-10-10,/bbgid/BBG000NV1YC6
96,2012-08-29,0.09,Monthly,Regular Cash,2012-09-06,2012-09-20,2012-09-10,/bbgid/BBG000NV1YC6
97,2012-07-31,0.09,Monthly,Regular Cash,2012-08-08,2012-08-20,2012-08-10,/bbgid/BBG000NV1YC6
98,2012-06-12,0.09,Monthly,Regular Cash,2012-07-06,2012-07-20,2012-07-10,/bbgid/BBG000NV1YC6
99,2012-05-29,0.18,Monthly,Regular Cash,2012-06-06,2012-06-20,2012-06-08,/bbgid/BBG000NV1YC6
100,2012-04-30,0.18,Monthly,Regular Cash,2012-05-08,2012-05-18,2012-05-10,/bbgid/BBG000NV1YC6
101,2012-03-29,0.18,Monthly,Regular Cash,2012-04-05,2012-04-20,2012-04-10,/bbgid/BBG000NV1YC6
102,2012-02-28,0.18,Monthly,Regular Cash,2012-03-07,2012-03-20,2012-03-09,/bbgid/BBG000NV1YC6
103,2012-01-17,0.18,Monthly,Regular Cash,2012-02-08,2012-02-21,2012-02-10,/bbgid/BBG000NV1YC6
104,2011-12-23,0.18,Monthly,Regular Cash,2012-01-06,2012-01-20,2012-01-10,/bbgid/BBG000NV1YC6
105,2011-11-29,0.18,Monthly,Regular Cash,2011-12-07,2011-12-20,2011-12-09,/bbgid/BBG000NV1YC6
106,2011-10-31,0.18,Monthly,Regular Cash,2011-11-08,2011-11-21,2011-11-10,/bbgid/BBG000NV1YC6
107,2011-09-29,0.18,Monthly,Regular Cash,2011-10-06,2011-10-20,2011-10-11,/bbgid/BBG000NV1YC6
108,2011-08-30,0.18,Monthly,Regular Cash,2011-09-07,2011-09-20,2011-09-09,/bbgid/BBG000NV1YC6
109,2011-07-29,0.18,Monthly,Regular Cash,2011-08-08,2011-08-19,2011-08-10,/bbgid/BBG000NV1YC6
110,2011-06-29,0.18,Monthly,Regular Cash,2011-07-06,2011-07-20,2011-07-10,/bbgid/BBG000NV1YC6
111,2011-05-31,0.18,Monthly,Regular Cash,2011-06-08,2011-06-20,2011-06-10,/bbgid/BBG000NV1YC6
112,2011-04-29,0.18,Monthly,Regular Cash,2011-05-06,2011-05-20,2011-05-10,/bbgid/BBG000NV1YC6
113,2011-03-31,0.18,Monthly,Regular Cash,2011-04-06,2011-04-20,2011-04-10,/bbgid/BBG000NV1YC6
114,2011-02-28,0.18,Monthly,Regular Cash,2011-03-08,2011-03-20,2011-03-10,/bbgid/BBG000NV1YC6
115,2011-01-04,0.18,Monthly,Regular Cash,2011-02-08,2011-02-20,2011-02-10,/bbgid/BBG000NV1YC6
116,2010-12-20,0.18,Monthly,Regular Cash,2010-12-29,2011-01-20,2010-12-31,/bbgid/BBG000NV1YC6
117,2010-11-30,0.18,Monthly,Regular Cash,2010-12-08,2010-12-20,2010-12-10,/bbgid/BBG000NV1YC6
118,2010-10-29,0.18,Monthly,Regular Cash,2010-11-08,2010-11-20,2010-11-10,/bbgid/BBG000NV1YC6
119,2010-09-30,0.18,Monthly,Regular Cash,2010-10-06,2010-10-20,2010-10-10,/bbgid/BBG000NV1YC6
120,2010-08-31,0.18,Monthly,Regular Cash,2010-09-08,2010-09-20,2010-09-10,/bbgid/BBG000NV1YC6
121,2010-07-28,0.18,Monthly,Regular Cash,2010-08-06,2010-08-20,2010-08-10,/bbgid/BBG000NV1YC6
122,2010-06-30,0.18,Monthly,Regular Cash,2010-07-07,2010-07-20,2010-07-10,/bbgid/BBG000NV1YC6
123,2010-05-31,0.18,Monthly,Regular Cash,2010-06-08,2010-06-20,2010-06-10,/bbgid/BBG000NV1YC6
124,2010-04-29,0.18,Monthly,Regular Cash,2010-05-06,2010-05-20,2010-05-10,/bbgid/BBG000NV1YC6
125,2010-03-31,0.18,Monthly,Regular Cash,2010-04-07,2010-04-20,2010-04-10,/bbgid/BBG000NV1YC6
126,2010-02-26,0.18,Monthly,Regular Cash,2010-03-08,2010-03-20,2010-03-10,/bbgid/BBG000NV1YC6
127,2010-01-29,0.18,Monthly,Regular Cash,2010-02-08,2010-02-20,2010-02-10,/bbgid/BBG000NV1YC6
128,2009-12-18,0.18,Monthly,Regular Cash,2009-12-29,2010-01-20,2009-12-31,/bbgid/BBG000NV1YC6
129,2009-11-30,0.18,Monthly,Regular Cash,2009-12-08,2009-12-20,2009-12-10,/bbgid/BBG000NV1YC6
130,2009-10-30,0.18,Monthly,Regular Cash,2009-11-06,2009-11-20,2009-11-10,/bbgid/BBG000NV1YC6
131,2009-09-30,0.18,Monthly,Regular Cash,2009-10-07,2009-10-20,2009-10-10,/bbgid/BBG000NV1YC6
132,2009-08-31,0.18,Monthly,Regular Cash,2009-09-08,2009-09-20,2009-09-10,/bbgid/BBG000NV1YC6
133,2009-07-29,0.18,Monthly,Regular Cash,2009-08-06,2009-08-20,2009-08-10,/bbgid/BBG000NV1YC6
134,2009-06-30,0.18,Monthly,Regular Cash,2009-07-08,2009-07-20,2009-07-10,/bbgid/BBG000NV1YC6
135,2009-05-29,0.18,Monthly,Regular Cash,2009-06-08,2009-06-20,2009-06-10,/bbgid/BBG000NV1YC6
136,2009-04-30,0.18,Monthly,Regular Cash,2009-05-06,2009-05-20,2009-05-10,/bbgid/BBG000NV1YC6
137,2009-03-31,0.18,Monthly,Regular Cash,2009-04-07,2009-04-20,2009-04-10,/bbgid/BBG000NV1YC6
138,2009-02-27,0.18,Monthly,Regular Cash,2009-03-06,2009-03-20,2009-03-10,/bbgid/BBG000NV1YC6
139,2009-01-30,0.18,Monthly,Regular Cash,2009-02-06,2009-02-20,2009-02-10,/bbgid/BBG000NV1YC6
140,2008-12-18,0.25,Monthly,Regular Cash,2008-12-29,2009-01-20,2008-12-31,/bbgid/BBG000NV1YC6
141,2008-11-28,0.38,Monthly,Regular Cash,2008-12-08,2008-12-20,2008-12-10,/bbgid/BBG000NV1YC6
142,2008-10-30,0.38,Monthly,Regular Cash,2008-11-06,2008-11-20,2008-11-10,/bbgid/BBG000NV1YC6
143,2008-09-30,0.47,Monthly,Regular Cash,2008-10-08,2008-10-20,2008-10-10,/bbgid/BBG000NV1YC6
144,2008-08-07,0.47,Monthly,Regular Cash,2008-09-08,2008-09-20,2008-09-10,/bbgid/BBG000NV1YC6
145,2008-07-30,0.42,Monthly,Regular Cash,2008-08-06,2008-08-20,2008-08-10,/bbgid/BBG000NV1YC6
146,2008-06-27,0.42,Monthly,Regular Cash,2008-07-08,2008-07-20,2008-07-10,/bbgid/BBG000NV1YC6
147,2008-05-30,0.42,Monthly,Regular Cash,2008-06-06,2008-06-20,2008-06-10,/bbgid/BBG000NV1YC6
148,2008-04-30,0.42,Monthly,Regular Cash,2008-05-07,2008-05-20,2008-05-10,/bbgid/BBG000NV1YC6
149,2008-03-31,0.42,Monthly,Regular Cash,2008-04-08,2008-04-20,2008-04-10,/bbgid/BBG000NV1YC6
150,2008-02-13,0.42,Monthly,Regular Cash,2008-03-06,2008-03-20,2008-03-10,/bbgid/BBG000NV1YC6
151,2008-01-30,0.42,Monthly,Regular Cash,2008-02-06,2008-02-20,2008-02-10,/bbgid/BBG000NV1YC6
152,2007-12-18,0.42,Monthly,Regular Cash,2007-12-27,2008-01-20,2007-12-31,/bbgid/BBG000NV1YC6
153,2007-11-28,0.42,Monthly,Regular Cash,2007-12-06,2007-12-20,2007-12-10,/bbgid/BBG000NV1YC6
154,2007-10-31,0.42,Monthly,Regular Cash,2007-11-07,2007-11-20,2007-11-10,/bbgid/BBG000NV1YC6
155,2007-09-28,0.42,Monthly,Regular Cash,2007-10-05,2007-10-20,2007-10-10,/bbgid/BBG000NV1YC6
156,2007-08-29,0.42,Monthly,Regular Cash,2007-09-06,2007-09-20,2007-09-10,/bbgid/BBG000NV1YC6
157,2007-07-31,0.42,Monthly,Regular Cash,2007-08-08,2007-08-20,2007-08-10,/bbgid/BBG000NV1YC6
158,2007-06-28,0.42,Monthly,Regular Cash,2007-07-06,2007-07-20,2007-07-10,/bbgid/BBG000NV1YC6
159,2007-05-30,0.42,Monthly,Regular Cash,2007-06-06,2007-06-20,2007-06-10,/bbgid/BBG000NV1YC6
160,2007-04-30,0.42,Monthly,Regular Cash,2007-05-08,2007-05-20,2007-05-10,/bbgid/BBG000NV1YC6
161,2007-03-22,0.42,Monthly,Regular Cash,2007-04-05,2007-04-20,2007-04-10,/bbgid/BBG000NV1YC6
162,2007-02-28,0.42,Monthly,Regular Cash,2007-03-07,2007-03-20,2007-03-10,/bbgid/BBG000NV1YC6
163,2007-01-31,0.42,Monthly,Regular Cash,2007-02-07,2007-02-20,2007-02-10,/bbgid/BBG000NV1YC6
164,2006-12-18,0.42,Monthly,Regular Cash,2006-12-27,2007-01-20,2006-12-31,/bbgid/BBG000NV1YC6
165,2006-11-29,0.42,Monthly,Regular Cash,2006-12-06,2006-12-20,2006-12-10,/bbgid/BBG000NV1YC6
166,2006-10-30,0.42,Monthly,Regular Cash,2006-11-08,2006-11-20,2006-11-10,/bbgid/BBG000NV1YC6
167,2006-09-28,0.42,Monthly,Regular Cash,2006-10-05,2006-10-20,2006-10-10,/bbgid/BBG000NV1YC6
168,2006-08-30,0.42,Monthly,Regular Cash,2006-09-06,2006-09-20,2006-09-10,/bbgid/BBG000NV1YC6
169,2006-07-31,0.42,Monthly,Regular Cash,2006-08-08,2006-08-20,2006-08-10,/bbgid/BBG000NV1YC6
170,2006-06-28,0.42,Monthly,Regular Cash,2006-07-06,2006-07-20,2006-07-10,/bbgid/BBG000NV1YC6
171,2006-05-31,0.42,Monthly,Regular Cash,2006-06-07,2006-06-20,2006-06-10,/bbgid/BBG000NV1YC6
172,2006-04-28,0.42,Monthly,Regular Cash,2006-05-08,2006-05-20,2006-05-10,/bbgid/BBG000NV1YC6
173,2006-03-30,0.42,Monthly,Regular Cash,2006-04-06,2006-04-20,2006-04-10,/bbgid/BBG000NV1YC6
174,2006-02-28,0.42,Monthly,Regular Cash,2006-03-08,2006-03-20,2006-03-10,/bbgid/BBG000NV1YC6
175,2006-01-31,0.42,Monthly,Regular Cash,2006-02-08,2006-02-20,2006-02-10,/bbgid/BBG000NV1YC6
176,2005-12-16,0.42,Monthly,Regular Cash,2005-12-28,2006-01-20,2005-12-31,/bbgid/BBG000NV1YC6
177,2005-11-30,0.42,Monthly,Regular Cash,2005-12-07,2005-12-20,2005-12-10,/bbgid/BBG000NV1YC6
178,2005-10-14,0.42,Monthly,Regular Cash,2005-11-08,2005-11-20,2005-11-10,/bbgid/BBG000NV1YC6
179,2005-09-30,0.37,Monthly,Regular Cash,2005-10-05,2005-10-20,2005-10-10,/bbgid/BBG000NV1YC6
180,2005-08-31,0.37,Monthly,Regular Cash,2005-09-07,2005-09-20,2005-09-10,/bbgid/BBG000NV1YC6
181,2005-07-19,0.37,Monthly,Regular Cash,2005-08-08,2005-08-20,2005-08-10,/bbgid/BBG000NV1YC6
182,2005-06-30,0.35,Monthly,Regular Cash,2005-07-06,2005-07-20,2005-07-10,/bbgid/BBG000NV1YC6
183,2005-05-31,0.35,Monthly,Regular Cash,2005-06-08,2005-06-20,2005-06-10,/bbgid/BBG000NV1YC6
184,2005-04-29,0.35,Monthly,Regular Cash,2005-05-06,2005-05-20,2005-05-10,/bbgid/BBG000NV1YC6
185,2005-03-31,0.35,Monthly,Regular Cash,2005-04-06,2005-04-20,2005-04-10,/bbgid/BBG000NV1YC6
186,2005-02-28,0.35,Monthly,Regular Cash,2005-03-08,2005-03-20,2005-03-10,/bbgid/BBG000NV1YC6
187,2005-01-31,0.35,Monthly,Regular Cash,2005-02-08,2005-02-20,2005-02-10,/bbgid/BBG000NV1YC6
188,2004-12-16,0.35,Monthly,Regular Cash,2004-12-29,2005-01-20,2004-12-31,/bbgid/BBG000NV1YC6
189,2004-11-30,0.35,Monthly,Regular Cash,2004-12-08,2004-12-20,2004-12-10,/bbgid/BBG000NV1YC6
190,2004-10-29,0.35,Monthly,Regular Cash,2004-11-08,2004-11-20,2004-11-10,/bbgid/BBG000NV1YC6
191,2004-09-30,0.35,Monthly,Regular Cash,2004-10-06,2004-10-20,2004-10-10,/bbgid/BBG000NV1YC6
192,2004-08-31,0.35,Monthly,Regular Cash,2004-09-08,2004-09-20,2004-09-10,/bbgid/BBG000NV1YC6
193,2004-07-30,0.35,Monthly,Regular Cash,2004-08-06,2004-08-20,2004-08-10,/bbgid/BBG000NV1YC6
194,2004-06-29,0.35,Monthly,Regular Cash,2004-07-07,2004-07-20,2004-07-10,/bbgid/BBG000NV1YC6
195,2004-05-28,0.35,Monthly,Regular Cash,2004-06-08,2004-06-20,2004-06-10,/bbgid/BBG000NV1YC6
196,2004-04-29,0.35,Monthly,Regular Cash,2004-05-06,2004-05-20,2004-05-10,/bbgid/BBG000NV1YC6
197,2004-03-31,0.35,Monthly,Regular Cash,2004-04-06,2004-04-20,2004-04-10,/bbgid/BBG000NV1YC6
198,2004-02-27,0.35,Monthly,Regular Cash,2004-03-08,2004-03-20,2004-03-10,/bbgid/BBG000NV1YC6
199,2004-01-30,0.35,Monthly,Regular Cash,2004-02-06,2004-02-20,2004-02-10,/bbgid/BBG000NV1YC6
200,2003-12-17,0.35,Monthly,Regular Cash,2003-12-29,2004-01-20,2003-12-31,/bbgid/BBG000NV1YC6
201,2003-11-28,0.35,Monthly,Regular Cash,2003-12-08,2003-12-20,2003-12-10,/bbgid/BBG000NV1YC6
202,2003-10-30,0.35,Monthly,Regular Cash,2003-11-06,2003-11-20,2003-11-10,/bbgid/BBG000NV1YC6
203,2003-09-30,0.37,Monthly,Regular Cash,2003-10-08,2003-10-20,2003-10-10,/bbgid/BBG000NV1YC6
204,2003-08-28,0.37,Monthly,Regular Cash,2003-09-08,2003-09-20,2003-09-10,/bbgid/BBG000NV1YC6
205,2003-07-31,0.37,Monthly,Regular Cash,2003-08-06,2003-08-20,2003-08-10,/bbgid/BBG000NV1YC6
206,2003-06-26,0.37,Monthly,Regular Cash,2003-07-08,2003-07-20,2003-07-10,/bbgid/BBG000NV1YC6
207,2003-05-29,0.37,Monthly,Regular Cash,2003-06-06,2003-06-20,2003-06-10,/bbgid/BBG000NV1YC6
208,2003-04-30,0.37,Monthly,Regular Cash,2003-05-07,2003-05-20,2003-05-10,/bbgid/BBG000NV1YC6
209,2003-03-28,0.35,Monthly,Regular Cash,2003-04-08,2003-04-20,2003-04-10,/bbgid/BBG000NV1YC6
210,2003-02-27,0.35,Monthly,Regular Cash,2003-03-06,2003-03-20,2003-03-10,/bbgid/BBG000NV1YC6
211,2003-01-30,0.32,Monthly,Regular Cash,2003-02-06,2003-02-20,2003-02-10,/bbgid/BBG000NV1YC6
212,2002-12-17,0.3,Monthly,Regular Cash,2002-12-27,2003-01-20,2002-12-31,/bbgid/BBG000NV1YC6
213,2002-11-27,0.3,Monthly,Regular Cash,2002-12-06,2002-12-20,2002-12-10,/bbgid/BBG000NV1YC6
214,2002-10-31,0.3,Monthly,Regular Cash,2002-11-06,2002-11-20,2002-11-10,/bbgid/BBG000NV1YC6
215,2002-09-30,0.3,Monthly,Regular Cash,2002-10-08,2002-10-20,2002-10-10,/bbgid/BBG000NV1YC6
216,2002-08-29,0.28,Monthly,Regular Cash,2002-09-06,2002-09-20,2002-09-10,/bbgid/BBG000NV1YC6
217,2002-07-31,0.28,Monthly,Regular Cash,2002-08-07,2002-08-20,2002-08-10,/bbgid/BBG000NV1YC6
218,2002-06-28,0.28,Monthly,Regular Cash,2002-07-08,2002-07-20,2002-07-10,/bbgid/BBG000NV1YC6
219,2002-05-31,0.28,Monthly,Regular Cash,2002-06-06,2002-06-20,2002-06-10,/bbgid/BBG000NV1YC6
220,2002-04-30,0.28,Monthly,Regular Cash,2002-05-08,2002-05-20,2002-05-10,/bbgid/BBG000NV1YC6
221,2002-03-27,0.2,Monthly,Regular Cash,2002-04-08,2002-04-20,2002-04-10,/bbgid/BBG000NV1YC6
222,2002-02-28,0.2,Monthly,Regular Cash,2002-03-06,2002-03-20,2002-03-10,/bbgid/BBG000NV1YC6
223,2002-01-31,0.25,Monthly,Regular Cash,2002-02-06,2002-02-20,2002-02-10,/bbgid/BBG000NV1YC6
224,2001-12-17,0.3,Monthly,Regular Cash,2001-12-27,2002-01-20,2001-12-31,/bbgid/BBG000NV1YC6
225,2001-11-30,0.35,Monthly,Regular Cash,2001-12-06,2001-12-20,2001-12-10,/bbgid/BBG000NV1YC6
226,2001-10-31,0.4,Monthly,Regular Cash,2001-11-07,2001-11-20,2001-11-10,/bbgid/BBG000NV1YC6
227,2001-09-28,0.4,Monthly,Regular Cash,2001-10-05,2001-10-20,2001-10-10,/bbgid/BBG000NV1YC6
228,2001-08-30,0.1,Monthly,Special Cash,2001-09-06,2001-09-20,2001-09-10,/bbgid/BBG000NV1YC6
229,2001-08-30,0.35,Monthly,Regular Cash,2001-09-06,2001-09-20,2001-09-10,/bbgid/BBG000NV1YC6
230,2001-07-31,0.35,Monthly,Regular Cash,2001-08-08,2001-08-20,2001-08-10,/bbgid/BBG000NV1YC6
231,2001-07-31,0.15,Monthly,Special Cash,2001-08-08,2001-08-20,2001-08-10,/bbgid/BBG000NV1YC6
232,2001-06-29,0.13,Monthly,Special Cash,2001-07-06,2001-07-20,2001-07-10,/bbgid/BBG000NV1YC6
233,2001-06-29,0.35,Monthly,Regular Cash,2001-07-06,2001-07-20,2001-07-10,/bbgid/BBG000NV1YC6
234,2001-05-31,0.17,Monthly,Special Cash,2001-06-06,2001-06-20,2001-06-10,/bbgid/BBG000NV1YC6
235,2001-05-31,0.35,Monthly,Regular Cash,2001-06-06,2001-06-20,2001-06-10,/bbgid/BBG000NV1YC6
236,2001-04-30,0.35,Monthly,Special Cash,2001-05-08,2001-05-20,2001-05-10,/bbgid/BBG000NV1YC6
237,2001-04-30,0.55,Monthly,Regular Cash,2001-05-08,2001-05-20,2001-05-10,/bbgid/BBG000NV1YC6
238,2001-03-29,0.1,Monthly,Special Cash,2001-04-06,2001-04-20,2001-04-10,/bbgid/BBG000NV1YC6
239,2001-03-29,0.35,Monthly,Regular Cash,2001-04-06,2001-04-20,2001-04-10,/bbgid/BBG000NV1YC6
240,2001-02-28,0.1,Monthly,Special Cash,2001-03-07,2001-03-20,2001-03-10,/bbgid/BBG000NV1YC6
241,2001-02-28,0.35,Monthly,Regular Cash,2001-03-07,2001-03-20,2001-03-10,/bbgid/BBG000NV1YC6
242,2001-01-26,0.3,Monthly,Special Cash,2001-02-07,2001-02-20,2001-02-10,/bbgid/BBG000NV1YC6
