fsym_id,sector,industry_group,industry,sub_industry,sector_id,industry_group_id,industry_id,sub_industry_id
BZPFLX-R,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs,60,6010,601010,60101070
C0YGQ6-R,Industrials,Capital Goods,Machinery,Industrial Machinery,20,2010,201060,20106020
C0YRLT-R,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,10,1010,101010,10101020
C0ZKS6-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
C46DK8-R,Real Estate,Real Estate,Equity Real Estate Investment,Specialized REITs,60,6010,601010,60101080
C46GQC-R,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Security & Alarm Services,20,2020,202010,20201080
C4C0BL-R,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,50,5020,502020,50202010
C4CVZD-R,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,20,2010,201010,20101010
C4HBRT-R,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,35,3520,352010,35201010
C5CPSB-R,Utilities,Utilities,Electric Utilities,Electric Utilities,55,5510,551010,55101010
C5GXYC-R,Industrials,Capital Goods,Building Products,Building Products,20,2010,201020,20102010
C5H02F-R,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum,45,4520,452030,45203010
C7C9TP-R,Materials,Materials,Chemicals,Commodity Chemicals,15,1510,151010,15101010
C7M7DL-R,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,35,3510,351020,35102015
C7V3J1-R,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,10,1010,101010,10101020
C8WF4C-R,Real Estate,Real Estate,Equity Real Estate Investment,Specialized REITs,60,6010,601010,60101080
C8XJ7D-R,Utilities,Utilities,Electric Utilities,Electric Utilities,55,5510,551010,55101010
CC0SQN-R,Communication Services,Telecommunication Services,Diversified Telecommunication,Alternative Carriers,50,5010,501010,50101010
CD94SL-R,Industrials,Transportation,Road & Rail,Trucking,20,2030,203040,20304020
CFG1CD-R,Utilities,Utilities,Water Utilities,Water Utilities,55,5510,551040,55104010
CFJ279-R,Real Estate,Real Estate,Equity Real Estate Investment,Health Care REITs,60,6010,601010,60101050
CG3M36-R,Utilities,Utilities,Electric Utilities,Electric Utilities,55,5510,551010,55101010
CGDY8B-R,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment,25,2510,251010,25101010
CGFC5V-R,Materials,Materials,Metals & Mining,Gold,15,1510,151040,15104030
CGGG4R-R,Materials,Materials,Metals & Mining,Gold,15,1510,151040,15104030
CGKFVK-R,Financials,Insurance,Insurance,Life & Health Insurance,40,4030,403010,40301020
CGLQ8R-R,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling,10,1010,101010,10101010
CGLRBS-R,Utilities,Utilities,Multi-Utilities,Multi-Utilities,55,5510,551030,55103010
CHK9QJ-R,Industrials,Transportation,Road & Rail,Trucking,20,2030,203040,20304020
CHKL7S-R,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,25,2550,255040,25504030
CHQS4N-R,Materials,Materials,Metals & Mining,Precious Metals & Minerals,15,1510,151040,15104040
CHR1NX-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,45,4530,453010,45301020
CJQN0M-R,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,30,3020,302020,30202030
CJTQXJ-R,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,40,4020,402030,40203020
CJVKH9-R,Consumer Staples,Household & Personal Products,Household Products,Household Products,30,3030,303010,30301010
CL1QH9-R,Information Technology,Software & Services,Software,Systems Software,45,4510,451030,45103020
CLZ09Q-R,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail,30,3010,301010,30101030
CN3XTF-R,Materials,Materials,Metals & Mining,Gold,15,1510,151040,15104030
CN4ZZK-R,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,30,3020,302020,30202030
CN7T72-R,Information Technology,Software & Services,Software,Application Software,45,4510,451030,45103010
CN8LQT-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
