,fsym_id,exdate,bbg_id,in_index,listing_currency
0,B00FG1-R,2020-02-24,BBG00699HCV8,0,USD
1,CFGH2P-R,2020-02-06,BBG000C0Y3B9,0,USD
2,CQ39HN-R,2021-05-27,BBG00CX3VGY3,0,USD
3,CXW1DC-R,2020-01-30,BBG008QQCJ65,0,USD
4,D67D5X-R,2020-02-12,BBG00GQ30QD7,0,USD
5,D9RT6Y-R,2020-02-06,BBG000BM2FL9,0,USD
6,DM23R5-R,2020-12-01,BBG00L3DQTC6,0,USD
7,DSQWTZ-R,2020-01-31,BBG006NJXS29,0,USD
8,F04DYS-R,2020-02-07,BBG000C1ZRQ7,0,USD
9,FCCHG2-R,2021-05-27,BBG00B5CBKJ6,1,CAD
10,FCMSN7-R,2020-02-03,BBG000BJ7NF1,0,USD
11,FGWVD2-R,2021-08-31,BBG000J2W794,0,USD
12,FH0KGK-R,2020-04-22,BBG000GMHBH2,0,USD
13,FNJW6B-R,2020-02-06,BBG000D3ZFH8,0,USD
14,FRN1RQ-R,2020-02-18,BBG001W55FM7,0,USD
15,FT5NF8-R,2020-02-07,BBG000GJQQ22,0,USD
16,J5WL9M-R,2000-11-29,BBG000BNHFB2,1,USD
17,JFVSSM-R,2020-08-27,BBG000PV85T2,1,CAD
18,JR251F-R,2020-02-06,BBG000NMJFC8,0,USD
19,K7YFYF-R,2020-01-31,BBG000PR2ZP5,0,USD
20,KM84B2-R,2020-02-05,BBG00R02H8D5,0,USD
21,L6LZQD-R,2020-02-06,BBG000QMH637,0,USD
22,MNWCSY-R,2020-02-14,BBG0036FB0H2,0,USD
23,N723VX-R,2020-02-07,BBG00729LTJ5,0,USD
24,N7Y770-R,2020-02-03,BBG0036D62Z9,0,USD
25,NFS30L-R,2020-02-21,BBG000B9WM03,0,USD
26,NW7Q44-R,2020-02-20,BBG006G57XG0,0,USD
27,P60NTB-R,2021-08-12,BBG008B5CF29,0,USD
28,PB5Z19-R,2020-11-02,BBG001CBC4Y0,0,USD
29,PHVQMM-R,2020-02-03,BBG00793T0Q8,0,USD
30,PKSJ68-R,2020-02-06,BBG00358K8S0,0,USD
31,Q2PKN2-R,2020-02-03,BBG000MJVCL9,0,USD
32,QJHCKK-R,2020-02-27,BBG000B9Y8D8,0,USD
33,R38R1X-R,2021-02-22,BBG004T7T2Z0,0,USD
34,R582JZ-R,2020-10-09,BBG00LFV6BR8,0,USD
35,R6YV8L-R,2020-01-31,BBG006F8Q8B4,0,USD
36,RV63WK-R,2020-03-19,BBG000BB3080,0,USD
37,TF5XQ1-R,2020-02-10,BBG000TS4FG1,0,USD
38,TR8891-R,2021-05-27,BBG000C40QG2,1,CAD
39,TSHPL3-R,2020-11-06,BBG000C14X88,0,USD
40,V1HC1N-R,2021-02-25,BBG000VC6WR2,1,CAD
41,W9X9MG-R,2020-02-03,BBG001Y7R8L4,0,USD
42,WV5L8L-R,2020-01-31,BBG002Z9XD93,0,USD
43,X1X2X7-R,2020-02-06,BBG000BCJXW2,0,USD
44,XFBRC3-R,2021-08-05,BBG0035TJGV4,0,USD
45,XFW8B2-R,2020-03-12,BBG005T0KPY1,0,USD
46,XLCZT6-R,2020-02-13,BBG007FH8JX4,0,USD
47,B3L86F-R,,BBG000CBC8D6,0,USD
48,K960HM-R,,BBG000Q39RP8,0,USD
49,WQL0KZ-R,,BBG000V8NC69,0,USD
50,HX6HLL-R,,BBG0077X3W91,0,CAD
51,XPLD03-R,,BBG000QP2SN6,0,USD
52,DCWB5F-R,,BBG000N0MYZ6,0,USD
53,KM9V14-R,,BBG000CQ5PH9,0,USD
54,WL53BC-R,,BBG000CYTTJ6,0,USD
55,VBHD3D-R,,BBG0018SLHR7,0,USD
56,QBNYB3-R,,BBG000BFLH48,0,USD
57,D852XT-R,,BBG00XTHQCG6,0,USD
58,HKNB31-R,,BBG000J6SL26,0,USD
59,D9PBHM-R,,BBG000K9LLR8,0,USD
60,RX2YB0-R,,BBG00TJZK354,0,CAD
61,FJWB59-R,,BBG00NR75V37,0,USD
