,fsym_id,bbg_id,ticker,bm_id,pid,strategy,rdate
0,B19ST9-R,/bbgid/BBG000BNBDC2,LLY US,SP500,,US,2021-05-31
1,B3DVXC-R,/bbgid/BBG000BJDB15,FCX US,SP500,,,2021-05-31
2,B4L66G-R,/bbgid/BBG000BQT4L6,PBCT US,SP500,,,2021-05-31
3,B4PGFJ-R,/bbgid/BBG00FN64XT9,DXC US,SP500,,,2021-05-31
4,B6V0BZ-R,/bbgid/BBG000BCVG28,POOL US,SP500,,US,2021-05-31
5,B6ZP8C-R,/bbgid/BBG000BKY1G5,WELL US,SP500,,,2021-05-31
6,B6ZXQL-R,/bbgid/BBG000DHPN63,O US,SP500,,,2021-05-31
7,B71DJZ-R,/bbgid/BBG000CHWP52,DISCA US,SP500,,,2021-05-31
8,B81TLL-R,/bbgid/BBG00KHY5S69,AVGO US,SP500,BG001,US,2021-05-31
9,B83YJG-R,/bbgid/BBG00H433CR2,EVRG US,SP500,,,2021-05-31
10,B97MP0-R,/bbgid/BBG000B9Z0J8,PLD US,SP500,,,2021-05-31
11,BCD4JF-R,/bbgid/BBG000BJP882,FMC US,SP500,,US,2021-05-31
12,BDQDB8-R,/bbgid/BBG000NV1KK7,DG US,SP500,BG001,US,2021-05-31
13,BFSY5M-R,/bbgid/BBG000BNJHS8,LUV US,SP500,,,2021-05-31
14,BJ2HRV-R,/bbgid/BBG000BT41Q8,SLB US,SP500,,,2021-05-31
15,BK2FRW-R,/bbgid/BBG000MDCQC2,ABC US,SP500,,,2021-05-31
16,BK6JKQ-R,/bbgid/BBG000BVDLH9,TMO US,SP500,BG001,US,2021-05-31
17,BL5KVX-R,/bbgid/BBG000F6H8W8,COST US,SP500,,,2021-05-31
18,BM9QXX-R,/bbgid/BBG000DKCC19,TSN US,SP500,,,2021-05-31
19,BNJBN6-R,/bbgid/BBG000QTF8K1,DXCM US,SP500,,,2021-05-31
20,BPRHF0-R,/bbgid/BBG000BHGDH5,DUK US,SP500,,,2021-05-31
21,BQR5YT-R,/bbgid/BBG000C3NTN5,HOLX US,SP500,,,2021-05-31
22,BQWWY7-R,/bbgid/BBG000BMW2Z0,KMB US,SP500,,,2021-05-31
23,BRWKF0-R,/bbgid/BBG000BLXZN1,TSCO US,SP500,,US,2021-05-31
24,BV4P4T-R,/bbgid/BBG000BB6M98,FE US,SP500,,,2021-05-31
25,BV8JHF-R,/bbgid/BBG000BC4JJ4,APD US,SP500,,,2021-05-31
26,BWDZ2P-R,/bbgid/BBG000D9D830,ACN US,SP500,,,2021-05-31
27,BWZ93Y-R,/bbgid/BBG001B4BV87,FBHS US,SP500,,,2021-05-31
28,BYJYYM-R,/bbgid/BBG000BVMGF2,ALL US,SP500,,US,2021-05-31
29,BYNP13-R,/bbgid/BBG000DQTXY6,DHI US,SP500,,US,2021-05-31
30,BYP0PF-R,/bbgid/BBG000C2VBB0,PTC US,SP500,,,2021-05-31
31,BZPFLX-R,/bbgid/BBG000BL46Q4,REG US,SP500,,,2021-05-31
32,C0YGQ6-R,/bbgid/BBG002R1CW27,IR US,SP500,,,2021-05-31
33,C46DK8-R,/bbgid/BBG000BPPN67,PSA US,SP500,,,2021-05-31
34,C4C0BL-R,/bbgid/BBG000CL9VN6,NFLX US,SP500,,,2021-05-31
35,C4HBRT-R,/bbgid/BBG0025Y4RY4,ABBV US,SP500,,,2021-05-31
36,C5GXYC-R,/bbgid/BBG000BM6788,TT US,SP500,,,2021-05-31
37,C7C9TP-R,/bbgid/BBG00BN96922,DOW US,SP500,,,2021-05-31
38,C7M7DL-R,/bbgid/BBG000D9DMK0,LH US,SP500,,,2021-05-31
39,C8WF4C-R,/bbgid/BBG000FV1Z23,CCI US,SP500,,,2021-05-31
40,C8XJ7D-R,/bbgid/BBG000BRDSX5,PNW US,SP500,,,2021-05-31
41,CFG1CD-R,/bbgid/BBG000TRJ294,AWK US,SP500,,,2021-05-31
42,CGGG4R-R,/bbgid/BBG000BPWXK1,NEM US,SP500,,US,2021-05-31
43,CHK9QJ-R,/bbgid/BBG000BMDBZ1,JBHT US,SP500,,,2021-05-31
44,CHKL7S-R,/bbgid/BBG000BNDN65,LOW US,SP500,,,2021-05-31
45,CHR1NX-R,/bbgid/BBG000C5Z1S3,MU US,SP500,,,2021-05-31
46,CJVKH9-R,/bbgid/BBG000BFS7D3,CLX US,SP500,,,2021-05-31
47,CL1QH9-R,/bbgid/BBG000BCMBG4,FTNT US,SP500,,,2021-05-31
48,CN7T72-R,/bbgid/BBG000GXZ4W7,ANSS US,SP500,,,2021-05-31
49,CPCV0Y-R,/bbgid/BBG000BSFRF3,SNPS US,SP500,,,2021-05-31
50,CPCW2Z-R,/bbgid/BBG000BGPTV6,CMI US,SP500,,,2021-05-31
51,CRHPMR-R,/bbgid/BBG000C221G9,PNR US,SP500,,,2021-05-31
52,CRP3ZV-R,/bbgid/BBG000BX9WL1,ZION US,SP500,,,2021-05-31
53,CSFJSZ-R,/bbgid/BBG005P7Q881,AAL US,SP500,,,2021-05-31
54,CSMTMQ-R,/bbgid/BBG000BWXBC2,WMT US,SP500,,,2021-05-31
55,CTYNJ1-R,/bbgid/BBG000BK6MB5,GE US,SP500,,,2021-05-31
56,CY644B-R,/bbgid/BBG000BLZRJ2,MS US,SP500,,,2021-05-31
57,CYB1M0-R,/bbgid/BBG000BBS2Y0,AMGN US,SP500,,,2021-05-31
58,CYB6Y5-R,/bbgid/BBG000BMX289,KO US,SP500,,,2021-05-31
59,CYBC69-R,/bbgid/BBG000BLF8D2,HRL US,SP500,,,2021-05-31
60,CZBYFY-R,/bbgid/BBG000BMTFR4,KLAC US,SP500,,US,2021-05-31
61,D0LDT1-R,/bbgid/BBG000BQBYR3,NVR US,SP500,,,2021-05-31
62,D1P43P-R,/bbgid/BBG000BWJFZ4,CF US,SP500,,,2021-05-31
63,D3VZJC-R,/bbgid/BBG000BS5DR2,RHI US,SP500,,,2021-05-31
64,D502G9-R,/bbgid/BBG000BB9KF2,AEP US,SP500,,,2021-05-31
65,D68983-R,/bbgid/BBG000BFVXX0,CMS US,SP500,,,2021-05-31
66,D8D820-R,/bbgid/BBG000BS9489,OMC US,SP500,,,2021-05-31
67,DBNXVB-R,/bbgid/BBG000DWG505,BRK/B US,SP500,,,2021-05-31
68,DDZB0B-R,/bbgid/BBG000BRNLL2,ALGN US,SP500,,,2021-05-31
69,DF9PT2-R,/bbgid/BBG000BD8PN9,BK US,SP500,,,2021-05-31
70,DG27Q5-R,/bbgid/BBG000BHX7N2,EMR US,SP500,,,2021-05-31
71,DG6SCF-R,/bbgid/BBG000BMZ7P7,KSU US,SP500,,US,2021-05-31
72,DGBZCC-R,/bbgid/BBG000R7Z112,DAL US,SP500,,,2021-05-31
73,DH79H0-R,/bbgid/BBG000BWSV34,WHR US,SP500,,,2021-05-31
74,DH7WLK-R,/bbgid/BBG000BHD8S7,DRE US,SP500,,,2021-05-31
75,DJBQ39-R,/bbgid/BBG000BM9RH1,CPRT US,SP500,,,2021-05-31
76,DJC2TN-R,/bbgid/BBG000BB5006,ADBE US,SP500,,,2021-05-31
77,DJC60R-R,/bbgid/BBG000BDXGP9,CAG US,SP500,,,2021-05-31
78,DLSMXK-R,/bbgid/BBG000BX3BL3,WY US,SP500,,,2021-05-31
79,DMRWLY-R,/bbgid/BBG000BJ26K7,ALB US,SP500,,,2021-05-31
80,DMX4QY-R,/bbgid/BBG00YTS96G2,APA US,SP500,,,2021-05-31
81,DRBC9M-R,/bbgid/BBG000BKR1D6,GWW US,SP500,,,2021-05-31
82,DTKPJP-R,/bbgid/BBG000B9XYV2,AMT US,SP500,BG001,US,2021-05-31
83,DTKZ1Y-R,/bbgid/BBG000BCTLF6,BAC US,SP500,,,2021-05-31
84,DXVDJ4-R,/bbgid/BBG000KLB4Q1,SWKS US,SP500,,US,2021-05-31
85,DXW84Y-R,/bbgid/BBG000BT7JW9,SNA US,SP500,,,2021-05-31
86,DXZQS6-R,/bbgid/BBG000NSCNT7,PFG US,SP500,,,2021-05-31
87,F05QG0-R,/bbgid/BBG000P458P3,DPZ US,SP500,,US,2021-05-31
88,F07Q7W-R,/bbgid/BBG000H3YXF8,CTAS US,SP500,BG001,,2021-05-31
89,F17SJ1-R,/bbgid/BBG000BB6G37,ADI US,SP500,,,2021-05-31
90,F1B8CH-R,/bbgid/BBG000VPGNR2,CHTR US,SP500,,,2021-05-31
91,F1DFCD-R,/bbgid/BBG000BR54L0,PHM US,SP500,,US,2021-05-31
92,F1DNTM-R,/bbgid/BBG000BS73J1,RJF US,SP500,,,2021-05-31
93,F72PJT-R,/bbgid/BBG000BPNP00,MXIM US,SP500,,,2021-05-31
94,F82H8Q-R,/bbgid/BBG000CC7LQ7,ZBRA US,SP500,,,2021-05-31
95,F9VYPD-R,/bbgid/BBG0078W3NQ3,HPE US,SP500,,,2021-05-31
96,FBB432-R,/bbgid/BBG000BQSQ38,PAYX US,SP500,,,2021-05-31
97,FBCHQC-R,/bbgid/BBG000BNGTQ7,LB US,SP500,,,2021-05-31
98,FCK6QT-R,/bbgid/BBG000QY3XZ2,EXPE US,SP500,,,2021-05-31
99,FDS1XB-R,/bbgid/BBG000BJVN28,FRT US,SP500,,,2021-05-31
100,FDS65G-R,/bbgid/BBG000Q3JN03,RF US,SP500,,,2021-05-31
101,FFQNC3-R,/bbgid/BBG000C1S2X2,VRTX US,SP500,,,2021-05-31
102,FH1NKL-R,/bbgid/BBG000BN5HF7,LEN US,SP500,,US,2021-05-31
103,FJ1B1C-R,/bbgid/BBG000BBHXQ3,AJG US,SP500,,,2021-05-31
104,FJ4J4C-R,/bbgid/BBG000BHKYH4,ECL US,SP500,,,2021-05-31
105,FJ4NDH-R,/bbgid/BBG000BSBZH7,ROST US,SP500,,,2021-05-31
106,FJ8GT6-R,/bbgid/BBG000BND699,NXPI US,SP500,,,2021-05-31
107,FMDS8D-R,/bbgid/BBG000BTCH57,CHRW US,SP500,,,2021-05-31
108,FPPSQ1-R,/bbgid/BBG000C4LN67,GRMN US,SP500,,,2021-05-31
109,FPTJVK-R,/bbgid/BBG000BT1715,SJM US,SP500,,,2021-05-31
110,FQJDL3-R,/bbgid/BBG0035M2ZB7,NWS US,SP500,,,2021-05-31
111,FQYW7Q-R,/bbgid/BBG000MQ1SN9,DVA US,SP500,,,2021-05-31
112,FQZF97-R,/bbgid/BBG000F1ZSN5,ROP US,SP500,BG001,,2021-05-31
113,FR4YZK-R,/bbgid/BBG0088CYPX8,NLSN US,SP500,,,2021-05-31
114,FS319Q-R,/bbgid/BBG000BJ81C1,TRV US,SP500,,,2021-05-31
115,FS32CR-R,/bbgid/BBG000BJ8YN7,FAST US,SP500,,,2021-05-31
116,FT7VMB-R,/bbgid/BBG000BRNGM2,ATO US,SP500,,,2021-05-31
117,FT8DNV-R,/bbgid/BBG000BP52R2,MMM US,SP500,,,2021-05-31
118,FT8FQW-R,/bbgid/BBG000HS77T5,VZ US,SP500,,,2021-05-31
119,FV824M-R,/bbgid/BBG000FDBX90,CNP US,SP500,,,2021-05-31
120,FVD6P4-R,/bbgid/BBG005XR47P5,CTLT US,SP500,,,2021-05-31
121,FWHC5K-R,/bbgid/BBG000C2V3D6,A US,SP500,,,2021-05-31
122,FXH4XG-R,/bbgid/BBG000CGC1X8,QCOM US,SP500,,,2021-05-31
123,FXTG1M-R,/bbgid/BBG0059FN811,KEYS US,SP500,,,2021-05-31
124,FYT41X-R,/bbgid/BBG000D898T9,CAH US,SP500,,,2021-05-31
125,FZRL7K-R,/bbgid/BBG000BB8SW7,PKG US,SP500,,US,2021-05-31
126,G3949H-R,/bbgid/BBG000QH56C1,CBOE US,SP500,,,2021-05-31
127,G4GB6B-R,/bbgid/BBG000BV4DR6,TER US,SP500,,US,2021-05-31
128,G7VZQH-R,/bbgid/BBG000BKWSR6,HBAN US,SP500,,,2021-05-31
129,G8WDMZ-R,/bbgid/BBG000BBVJZ8,DVN US,SP500,,,2021-05-31
130,GC9695-R,/bbgid/BBG000BSXQV7,SHW US,SP500,BG001,US,2021-05-31
131,GFJC62-R,/bbgid/BBG000C3J3C9,CSCO US,SP500,,,2021-05-31
132,GFJGD5-R,/bbgid/BBG000BQC9V2,NWL US,SP500,,,2021-05-31
133,GGPDYX-R,/bbgid/BBG000BHLYP4,CME US,SP500,BG001,,2021-05-31
134,GGPVTB-R,/bbgid/BBG000CH5208,UNH US,SP500,BG001,US,2021-05-31
135,GM3DBL-R,/bbgid/BBG00FWQ4VD6,ULTA US,SP500,,,2021-05-31
136,GN6KCJ-R,/bbgid/BBG000BKTFN2,HAL US,SP500,,,2021-05-31
137,GN6RRQ-R,/bbgid/BBG000BVVQQ8,TXT US,SP500,,,2021-05-31
138,GQGQ5C-R,/bbgid/BBG000BLW530,EMN US,SP500,,,2021-05-31
139,GRMY8C-R,/bbgid/BBG000BH3JF8,DHR US,SP500,,US,2021-05-31
140,GRQMJ0-R,/bbgid/BBG000WCFV84,LYB US,SP500,,,2021-05-31
141,GRS9LG-R,/bbgid/BBG000BBNYF6,DRI US,SP500,,,2021-05-31
142,GRSDSK-R,/bbgid/BBG000B9X8C0,AEE US,SP500,,,2021-05-31
143,GS3RJ8-R,/bbgid/BBG000BY2Y78,IVZ US,SP500,,,2021-05-31
144,GX5LJC-R,/bbgid/BBG000BYYLS8,TFC US,SP500,,,2021-05-31
145,GYM5PB-R,/bbgid/BBG0019LSQ49,FRC US,SP500,,,2021-05-31
146,GZF20K-R,/bbgid/BBG000BM5SR2,IP US,SP500,,,2021-05-31
147,GZKHGQ-R,/bbgid/BBG000C1XVK6,RE US,SP500,,,2021-05-31
148,GZMRSV-R,/bbgid/BBG000BN2DC2,CRM US,SP500,,,2021-05-31
149,H0P6P9-R,/bbgid/BBG000D2ZTS8,HBI US,SP500,,,2021-05-31
150,H1PMLS-R,/bbgid/BBG000BFQYY3,CL US,SP500,,,2021-05-31
151,H2VPCM-R,/bbgid/BBG000BBGGQ1,VLO US,SP500,,,2021-05-31
152,H53QZC-R,/bbgid/BBG000CNFQW6,PRGO US,SP500,,,2021-05-31
153,H69CWS-R,/bbgid/BBG002PHSYX9,FANG US,SP500,,,2021-05-31
154,H7DGWR-R,/bbgid/BBG000BKVJK4,HAS US,SP500,,,2021-05-31
155,HF1P15-R,/bbgid/BBG000BJ49H3,BWA US,SP500,,,2021-05-31
156,HF5SX1-R,/bbgid/BBG000C17X76,BIIB US,SP500,,,2021-05-31
157,HHB3C8-R,/bbgid/BBG000D4LWF6,MDLZ US,SP500,,,2021-05-31
158,HJG212-R,/bbgid/BBG000BL8804,HST US,SP500,,,2021-05-31
159,HJXXH4-R,/bbgid/BBG001KJ2HM9,HII US,SP500,,,2021-05-31
160,HKLJPC-R,/bbgid/BBG000BQ8KV2,NUE US,SP500,,,2021-05-31
161,HMVVTC-R,/bbgid/BBG000BD0TF8,BEN US,SP500,,,2021-05-31
162,HN195G-R,/bbgid/BBG000C101X4,ABMD US,SP500,,,2021-05-31
163,HNZVK6-R,/bbgid/BBG000BF6LY3,CCL US,SP500,,,2021-05-31
164,HP13ZD-R,/bbgid/BBG008NXC572,WRK US,SP500,,,2021-05-31
165,HP58X9-R,/bbgid/BBG000F7RCJ1,AAP US,SP500,,US,2021-05-31
166,HQ2MHF-R,/bbgid/BBG00LNJRQ09,AMCR US,SP500,,,2021-05-31
167,HQ4DBK-R,/bbgid/BBG000BQLTW7,ORCL US,SP500,,US,2021-05-31
168,HQ87P5-R,/bbgid/BBG000BVV7G1,TXN US,SP500,BG001,US,2021-05-31
169,HSF35X-R,/bbgid/BBG000BNNKG9,MAS US,SP500,,US,2021-05-31
170,HSFL3C-R,/bbgid/BBG000BRJ809,PPG US,SP500,,,2021-05-31
171,HTM0LK-R,/bbgid/BBG009S39JX6,GOOGL US,SP500,,,2021-05-31
172,HVV49B-R,/bbgid/BBG000BR37X2,PGR US,SP500,,,2021-05-31
173,HXZ458-R,/bbgid/BBG000DSMS70,ILMN US,SP500,,,2021-05-31
174,HZ6Z7Q-R,/bbgid/BBG000C0G1D1,INTC US,SP500,,,2021-05-31
175,J1JDGR-R,/bbgid/BBG0074Q3NK6,CZR US,SP500,,,2021-05-31
176,J2MW73-R,/bbgid/BBG000L4M7F1,RMD US,SP500,,,2021-05-31
177,J70N5J-R,/bbgid/BBG000BQVTF5,PCAR US,SP500,,,2021-05-31
