,fsym_id,exdate,bbg_id,in_index,listing_currency
0,B00FG1-R,2020-02-24,BBG00699HCV8,0,USD
1,B04HL7-R,2021-09-02,BBG000BXNHY4,0,USD
2,B04V7K-R,2021-10-28,BBG000C0R327,1,CAD
3,B14762-R,2021-08-13,BBG000C4FQG6,0,USD
4,B19ST9-R,2021-08-12,BBG000BNBDC2,1,USD
5,B2BZ5H-R,2021-04-01,BBG000BF1GD2,0,USD
6,B2DCHG-R,2021-08-05,BBG002WMG9X8,0,USD
7,B2DWV9-R,2021-08-12,BBG000BH63D2,0,USD
8,B3G4BK-R,2021-08-31,BBG00D0Y81M1,1,USD
9,B6V0BZ-R,2021-08-11,BBG000BCVG28,1,USD
10,B6V9Y8-R,2021-08-09,BBG000BQHTV3,0,USD
11,B6VKDH-R,2021-08-16,BBG000BC9K06,0,CAD
12,B6ZP8C-R,2021-08-11,BBG000BKY1G5,1,USD
13,B6ZXQL-R,2021-09-30,BBG000DHPN63,1,USD
14,B7ZK4B-R,2021-08-10,BBG000BCHZL1,0,USD
15,B83YJG-R,2021-08-19,BBG00H433CR2,1,USD
16,B94X32-R,2021-08-16,BBG006TBN8B5,0,USD
17,B973PJ-R,2021-08-13,BBG000F964B6,0,USD
18,BCDK9T-R,2021-05-28,BBG000BNMHS4,0,USD
19,BCHRDT-R,2021-10-28,BBG000BV7ZW8,1,CAD
20,BDM513-R,2021-08-23,BBG000H65582,0,USD
21,BFSQSF-R,2021-10-21,BBG000BMT0R7,1,CAD
22,BGVFTS-R,2021-09-02,BBG00HCX5VQ4,0,USD
23,BHQMK5-R,2021-08-13,BBG00LNJWF43,0,USD
24,BJ2HRV-R,2021-08-31,BBG000BT41Q8,1,USD
25,BK2FRW-R,2021-08-13,BBG000MDCQC2,1,USD
26,BK6T2Z-R,2021-08-13,BBG000KFPB56,0,USD
27,BM9QXX-R,2021-08-31,BBG000DKCC19,1,USD
28,BMF291-R,2021-08-12,BBG000QCQ764,0,USD
29,BMG6G3-R,2021-05-27,BBG000JDZLZ7,0,USD
30,BMH9K4-R,2021-08-12,BBG000C3ZNH2,0,USD
31,BNMLW8-R,2021-10-22,BBG000D5BDF6,1,CAD
32,BPKYVT-R,2021-08-19,BBG000BDTT76,0,USD
33,BPRHF0-R,2021-08-12,BBG000BHGDH5,1,USD
34,BQDDX6-R,2021-08-13,BBG005H82GB2,0,USD
35,BQVD1T-R,2021-08-03,BBG000BY3302,0,USD
36,BQWH4V-R,2021-08-26,BBG000BWQ4C6,0,USD
37,BRVLL3-R,2021-08-20,BBG000FKMP26,0,USD
38,BRWKF0-R,2021-08-20,BBG000BLXZN1,1,USD
39,BS0FTN-R,2021-08-30,BBG000G21FS2,0,USD
40,BTJCBQ-R,2021-10-28,BBG003FX9C44,0,CAD
41,BV4P4T-R,2021-08-05,BBG000BB6M98,1,USD
42,BV52Y6-R,2021-08-04,BBG000BLR3Y7,0,USD
43,BV7ZFX-R,2021-08-03,BBG000BTC2N0,0,USD
44,BWZ93Y-R,2021-08-26,BBG001B4BV87,1,USD
45,BXKBJW-R,2021-10-28,BBG000PXLSN9,0,CAD
46,BXWZVW-R,2021-08-12,BBG000P2TYL8,0,USD
47,BYJYYM-R,2021-08-30,BBG000BVMGF2,1,USD
48,BYPLSZ-R,2021-08-12,BBG000GM73Y2,0,USD
49,C0YZ00-R,2021-08-31,BBG000BPFFJ1,0,USD
50,C2LPC7-R,2021-08-30,BBG000BNYLL9,0,USD
51,C37W7K-R,2021-08-30,BBG000F4HLT8,0,USD
52,C5HWS8-R,2021-08-13,BBG000JN3576,0,USD
53,C5P72D-R,2021-10-28,BBG000BGLFP7,0,USD
54,C6N3ZB-R,2021-05-28,BBG000CVR9H0,0,USD
55,C7C9TP-R,2021-08-30,BBG00BN96922,1,USD
56,C7LZYC-R,2021-08-10,BBG000BNTTY4,0,USD
57,C8S1Q6-R,2021-08-25,BBG000C38CT3,0,USD
58,C8WZ5W-R,2021-08-13,BBG000BQ4C99,0,USD
59,C8XJ7D-R,2021-07-30,BBG000BRDSX5,1,USD
60,CDBB0P-R,2021-08-17,BBG000BSV7D1,0,USD
61,CFG1CD-R,2021-08-09,BBG000TRJ294,1,USD
62,CFGH2P-R,2020-02-06,BBG000C0Y3B9,0,USD
63,CFJ279-R,2021-10-28,BBG000QBM0Z3,1,CAD
64,CGDY8B-R,2021-08-20,BBG000BZGJZ2,1,CAD
