,fsym_id,exdate,bbg_id,in_index,listing_currency
0,B04V7K-R,2021-09-28,BBG000C0R327,1,CAD
1,B28MQ9-R,2021-07-15,BBG000BP02D2,0,USD
2,B2YXGF-R,2021-07-29,BBG004N1KV84,0,USD
3,B3DVXC-R,2021-07-14,BBG000BJDB15,1,USD
4,B4L66G-R,2021-07-29,BBG000BQT4L6,1,USD
5,B6YRHH-R,2021-07-26,BBG000BRYD38,0,USD
6,B8350Q-R,2021-08-31,BBG000BZNSD8,1,CAD
7,B8374S-R,2016-11-08,BBG00B3T3HD3,1,USD
8,BBV3KZ-R,2021-07-14,BBG00JGMWFM9,0,USD
9,BCD5LG-R,2021-07-27,BBG000CTV4N4,0,USD
10,BCHRDT-R,2021-09-28,BBG000BV7ZW8,1,CAD
11,BDQDB8-R,2021-07-02,BBG000NV1KK7,1,USD
12,BFSQSF-R,2021-09-21,BBG000BMT0R7,1,CAD
13,BK136M-R,2021-07-13,BBG000C42VL3,0,USD
14,BK5ZJ6-R,2021-07-29,BBG000BHLJW9,0,USD
15,BL5KVX-R,2021-07-29,BBG000F6H8W8,1,USD
16,BNFMGN-R,2021-07-23,BBG000BS2ZD1,0,USD
17,BNMLW8-R,2021-09-24,BBG000D5BDF6,1,CAD
18,BRWC0T-R,2021-06-30,BBG000BXPZB7,0,USD
19,BRYLF1-R,2021-07-14,BBG000DKDWS5,0,USD
20,BS21X5-R,2020-01-31,BBG000C4Q0W3,0,USD
21,BTBLFD-R,2020-01-30,BBG000BQ4Q61,0,USD
22,BTJCBQ-R,2021-09-28,BBG003FX9C44,0,CAD
23,BW92P1-R,2021-07-09,BBG000FFC0B3,1,USD
24,BWDZ2P-R,2021-07-14,BBG000D9D830,1,USD
25,BXKBJW-R,2021-09-28,BBG000PXLSN9,0,CAD
26,BYKM67-R,2021-08-02,BBG000BSHJ96,0,USD
27,BZPTB8-R,2021-07-22,BBG000FSMWC3,0,USD
28,C11683-R,2021-08-30,BBG000L35KD5,0,USD
29,C4HBRT-R,2021-07-14,BBG0025Y4RY4,1,USD
30,C5P72D-R,2021-09-29,BBG000BGLFP7,0,USD
31,C6MN1W-R,2021-03-25,BBG00P5M4V07,0,USD
