,fsym_id,split_date,exdate,bbg_id,in_index,p_split_factor
0,CN48GR-R,2021-08-24,2009-08-12,BBG000BH4479,0,0.952381015
1,CTYNJ1-R,2021-08-02,2021-06-25,BBG000BK6MB5,1,8.0
2,F9BMYG-R,2021-08-17,2012-12-13,BBG000BRQJZ9,0,0.5
3,G6LX5T-R,2021-08-09,2021-06-29,BBG000PL6TY8,0,0.5
4,GPC22V-R,2021-08-23,2021-07-29,BBG000F5HBL5,0,0.5
5,J06HGC-R,2021-08-20,2020-03-30,BBG000D3FY25,1,8.5
6,TZ57CV-R,2021-08-26,2021-05-18,BBG000BMSWV3,0,10.0
7,WL2DPB-R,2021-08-06,2020-03-30,BBG000BJSP36,0,10.0
