,fsym_id,split_date,exdate,bbg_id,in_index,p_split_factor
0,J9GKZS-R,2021-12-16,2021-09-23,BBG000C16GW6,0,0.952380955
1,JK8QV1-R,2021-12-02,2021-09-10,BBG000BJ68B9,0,0.952380955
2,K8ZL7L-R,2021-11-30,2021-11-09,BBG000BJYZD6,0,0.952380955
3,MDTS86-R,2021-12-14,2021-09-17,BBG000BRLPF2,0,0.909090936
4,WPLD13-R,2021-12-01,2021-09-03,BBG000BF3G77,1,0.952380955
