,fsym_id,exdate,bbg_id,in_index,listing_currency
0,BS21X5-R,2020-01-31,BBG000C4Q0W3,0,USD
1,BTBLFD-R,2020-01-30,BBG000BQ4Q61,0,USD
2,C11683-R,2020-01-15,BBG000L35KD5,0,USD
3,CRNBH3-R,2020-01-30,BBG000BP63C5,0,USD
4,D00LZG-R,2020-01-16,BBG0029SH078,0,USD
5,D3VJNY-R,2020-01-30,BBG000BM3HK5,0,USD
6,DYVDP8-R,2020-01-30,BBG004D379Q5,0,USD
7,DZ1P4N-R,2020-01-31,BBG00FQH6MJ5,0,USD
8,FJDB5V-R,2020-01-24,BBG001QYKF35,0,USD
9,FRYXFV-R,2020-04-29,BBG000BR3012,0,USD
10,J1FK12-R,2020-01-31,BBG000BB3CT1,0,USD
11,KCD6KM-R,2020-01-30,BBG000F2SFN9,0,USD
12,KW4CLR-R,2021-04-22,BBG000BHF0Q4,0,USD
13,N232R0-R,2020-01-30,BBG000TBYFR3,0,USD
14,NRFNHW-R,2020-01-30,BBG0046HZ552,0,USD
15,P5K6R8-R,2020-01-31,BBG000PNZ5G4,0,USD
16,PFD89C-R,2021-04-23,BBG000F79GY5,0,USD
17,Q8CPF7-R,2021-06-29,BBG000BFFW79,0,CAD
18,QD8WKZ-R,2020-01-30,BBG000C4ZZ10,1,USD
19,R582JZ-R,2020-10-09,BBG00LFV6BR8,0,USD
20,RYR8ZY-R,2021-04-16,BBG000BL18V7,0,USD
21,S8MPCH-R,2021-05-06,BBG002537TC9,0,USD
22,SD84W1-R,2021-04-14,BBG000BJ5G95,0,USD
23,SW6SST-R,2020-01-29,BBG00HPBBSM2,0,USD
24,TCX5SM-R,2021-06-29,BBG000BM1Q09,1,CAD
25,V0LYTZ-R,2020-01-30,BBG003M3V230,0,USD
26,VGYKN2-R,2021-04-21,BBG000BCJG31,1,CAD
27,VK7116-R,2021-04-07,BBG000BGZL88,0,USD
28,WW31J8-R,2021-04-29,BBG000CTQBQ1,0,USD
29,B3L86F-R,,BBG000CBC8D6,0,USD
30,BRVLL3-R,,BBG000FKMP26,0,USD
31,D9PBHM-R,,BBG000K9LLR8,0,USD
32,DCWB5F-R,,BBG000N0MYZ6,0,USD
33,FJWB59-R,,BBG00NR75V37,0,USD
34,JK7L9M-R,,BBG00GCLZ7B8,0,USD
35,K960HM-R,,BBG000Q39RP8,0,USD
36,KM9V14-R,,BBG000CQ5PH9,0,USD
37,LDHMLB-R,,BBG00KHHBMC5,0,USD
38,QBNYB3-R,,BBG000BFLH48,0,USD
39,WL53BC-R,,BBG000CYTTJ6,0,USD
40,WQL0KZ-R,,BBG000V8NC69,0,USD
41,XPLD03-R,,BBG000QP2SN6,0,USD
