,fsym_id,split_date,exdate,bbg_id,in_index,p_split_factor
0,F4P4BV-R,2021-07-21,2016-11-08,BBG000BGLT68,0,12.0
1,G8C7YY-R,2021-07-01,2019-12-12,BBG0025CGG82,0,6.0
2,G96265-R,2021-07-23,2021-06-29,BBG001KJLYZ7,0,3.0
3,GQLG9W-R,2021-07-13,2021-04-08,BBG011RJRY92,0,0.74626863
4,K7TPSX-R,2021-07-20,2021-06-09,BBG000BBJQV0,1,0.25
5,KLJ654-R,2021-07-13,2020-04-06,BBG001LR99L2,0,0.985915482
6,QYX5GN-R,2021-07-15,2021-05-05,BBG002Q8NXP4,0,0.5
7,SDD8QX-R,2021-07-20,2021-04-01,BBG000BF4DG3,0,0.5
8,WRV9CQ-R,2021-07-19,2019-12-30,BBG000PRZVD1,0,10.0
