,fsym_id,split_date,exdate,bbg_id,in_index,p_split_factor
0,CFF5LG-R,2021-05-13,2014-12-24,BBG00GFSQZ82,0,0.917431176
1,F8GSR8-R,2021-05-24,2020-05-27,BBG0016Z24T1,0,0.952380955
2,FDS2ZC-R,2021-05-03,2021-03-23,BBG000BKVYJ3,0,0.666666687
3,GN8WTQ-R,2021-05-05,2015-05-06,BBG000BN31M6,0,0.952380955
4,LTN487-R,2021-05-14,2021-03-25,BBG000DMM476,1,0.200000003
5,MWLQNZ-R,2021-05-17,2021-04-08,BBG000BJJD51,0,0.5
6,N2YFG6-R,2021-05-12,2021-02-11,BBG000QK3NY5,0,0.666666687
7,N969LJ-R,2021-05-03,2021-04-19,BBG000BJ7RY1,0,0.666666687
8,PY8XXQ-R,2021-05-11,2021-03-12,BBG000H7LBD3,0,0.993829012
9,TF5S9S-R,2021-05-28,2021-03-04,BBG000BVNVQ6,0,5.0
