,fsym_id,bbg_id,ticker,bm_id,pid,strategy,rdate
0,BRWKF0-R,/bbgid/BBG000BLXZN1,TSCO US,SP500,,,2021-11-30
1,BPRHF0-R,/bbgid/BBG000BHGDH5,DUK US,SP500,,,2021-11-30
2,BK6JKQ-R,/bbgid/BBG000BVDLH9,TMO US,SP500,BG001,,2021-11-30
3,BFSY5M-R,/bbgid/BBG000BNJHS8,LUV US,SP500,,,2021-11-30
4,B81TLL-R,/bbgid/BBG00KHY5S69,AVGO US,SP500,BG001,,2021-11-30
5,B71DJZ-R,/bbgid/BBG000CHWP52,DISCA US,SP500,,,2021-11-30
6,B6ZXQL-R,/bbgid/BBG000DHPN63,O US,SP500,,,2021-11-30
7,B6ZP8C-R,/bbgid/BBG000BKY1G5,WELL US,SP500,,,2021-11-30
8,B4L66G-R,/bbgid/BBG000BQT4L6,PBCT US,SP500,,,2021-11-30
9,B19ST9-R,/bbgid/BBG000BNBDC2,LLY US,SP500,,,2021-11-30
10,BV4P4T-R,/bbgid/BBG000BB6M98,FE US,SP500,,,2021-11-30
11,BQWWY7-R,/bbgid/BBG000BMW2Z0,KMB US,SP500,,,2021-11-30
12,BQR5YT-R,/bbgid/BBG000C3NTN5,HOLX US,SP500,,,2021-11-30
13,BM9QXX-R,/bbgid/BBG000DKCC19,TSN US,SP500,,,2021-11-30
14,BL5KVX-R,/bbgid/BBG000F6H8W8,COST US,SP500,,,2021-11-30
15,BK2FRW-R,/bbgid/BBG000MDCQC2,ABC US,SP500,,,2021-11-30
16,C8WF4C-R,/bbgid/BBG000FV1Z23,CCI US,SP500,,,2021-11-30
17,BJ2HRV-R,/bbgid/BBG000BT41Q8,SLB US,SP500,,,2021-11-30
18,BDQDB8-R,/bbgid/BBG000NV1KK7,DG US,SP500,BG001,,2021-11-30
19,B8ZY81-R,/bbgid/BBG00ZQRGW24,OGN US,SP500,,,2021-11-30
20,B83YJG-R,/bbgid/BBG00H433CR2,EVRG US,SP500,,,2021-11-30
21,B3DVXC-R,/bbgid/BBG000BJDB15,FCX US,SP500,,,2021-11-30
22,C4C0BL-R,/bbgid/BBG000CL9VN6,NFLX US,SP500,,,2021-11-30
23,C5GXYC-R,/bbgid/BBG000BM6788,TT US,SP500,,,2021-11-30
24,BV8JHF-R,/bbgid/BBG000BC4JJ4,APD US,SP500,,,2021-11-30
25,BWDZ2P-R,/bbgid/BBG000D9D830,ACN US,SP500,,,2021-11-30
26,CFG1CD-R,/bbgid/BBG000TRJ294,AWK US,SP500,,,2021-11-30
27,BCD4JF-R,/bbgid/BBG000BJP882,FMC US,SP500,,,2021-11-30
28,B97MP0-R,/bbgid/BBG000B9Z0J8,PLD US,SP500,,,2021-11-30
29,CHKL7S-R,/bbgid/BBG000BNDN65,LOW US,SP500,,,2021-11-30
30,BYNP13-R,/bbgid/BBG000DQTXY6,DHI US,SP500,,,2021-11-30
31,BYP0PF-R,/bbgid/BBG000C2VBB0,PTC US,SP500,,,2021-11-30
32,B6V0BZ-R,/bbgid/BBG000BCVG28,POOL US,SP500,,,2021-11-30
33,C46DK8-R,/bbgid/BBG000BPPN67,PSA US,SP500,,,2021-11-30
34,CJVKH9-R,/bbgid/BBG000BFS7D3,CLX US,SP500,,,2021-11-30
35,C4HBRT-R,/bbgid/BBG0025Y4RY4,ABBV US,SP500,,,2021-11-30
36,CL1QH9-R,/bbgid/BBG000BCMBG4,FTNT US,SP500,,,2021-11-30
37,BNJBN6-R,/bbgid/BBG000QTF8K1,DXCM US,SP500,,,2021-11-30
38,C7C9TP-R,/bbgid/BBG00BN96922,DOW US,SP500,,,2021-11-30
39,C7M7DL-R,/bbgid/BBG000D9DMK0,LH US,SP500,,,2021-11-30
40,C8XJ7D-R,/bbgid/BBG000BRDSX5,PNW US,SP500,,,2021-11-30
41,BWZ93Y-R,/bbgid/BBG001B4BV87,FBHS US,SP500,,,2021-11-30
42,CRP3ZV-R,/bbgid/BBG000BX9WL1,ZION US,SP500,,,2021-11-30
43,CHK9QJ-R,/bbgid/BBG000BMDBZ1,JBHT US,SP500,,,2021-11-30
44,CSFJSZ-R,/bbgid/BBG005P7Q881,AAL US,SP500,,,2021-11-30
45,BYJYYM-R,/bbgid/BBG000BVMGF2,ALL US,SP500,,,2021-11-30
46,CSMTMQ-R,/bbgid/BBG000BWXBC2,WMT US,SP500,,,2021-11-30
47,CTYNJ1-R,/bbgid/BBG000BK6MB5,GE US,SP500,,,2021-11-30
48,BZPFLX-R,/bbgid/BBG000BL46Q4,REG US,SP500,,,2021-11-30
49,CY644B-R,/bbgid/BBG000BLZRJ2,MS US,SP500,,,2021-11-30
50,B4PGFJ-R,/bbgid/BBG00FN64XT9,DXC US,SP500,,,2021-11-30
51,C0YGQ6-R,/bbgid/BBG002R1CW27,IR US,SP500,,,2021-11-30
52,CHR1NX-R,/bbgid/BBG000C5Z1S3,MU US,SP500,,,2021-11-30
53,CYB1M0-R,/bbgid/BBG000BBS2Y0,AMGN US,SP500,,,2021-11-30
54,D0LDT1-R,/bbgid/BBG000BQBYR3,NVR US,SP500,,,2021-11-30
55,CRHPMR-R,/bbgid/BBG000C221G9,PNR US,SP500,,,2021-11-30
56,CYB6Y5-R,/bbgid/BBG000BMX289,KO US,SP500,,,2021-11-30
57,CYBC69-R,/bbgid/BBG000BLF8D2,HRL US,SP500,,,2021-11-30
58,CZBYFY-R,/bbgid/BBG000BMTFR4,KLAC US,SP500,,,2021-11-30
59,CN7T72-R,/bbgid/BBG000GXZ4W7,ANSS US,SP500,,,2021-11-30
60,D1P43P-R,/bbgid/BBG000BWJFZ4,CF US,SP500,,,2021-11-30
61,CPCV0Y-R,/bbgid/BBG000BSFRF3,SNPS US,SP500,,,2021-11-30
62,D502G9-R,/bbgid/BBG000BB9KF2,AEP US,SP500,,,2021-11-30
63,CPCW2Z-R,/bbgid/BBG000BGPTV6,CMI US,SP500,,,2021-11-30
64,CGGG4R-R,/bbgid/BBG000BPWXK1,NEM US,SP500,,,2021-11-30
65,DMRWLY-R,/bbgid/BBG000BJ26K7,ALB US,SP500,,,2021-11-30
66,DBNXVB-R,/bbgid/BBG000DWG505,BRK/B US,SP500,,,2021-11-30
67,DDZB0B-R,/bbgid/BBG000BRNLL2,ALGN US,SP500,,,2021-11-30
68,DF9PT2-R,/bbgid/BBG000BD8PN9,BK US,SP500,,,2021-11-30
69,DG27Q5-R,/bbgid/BBG000BHX7N2,EMR US,SP500,,,2021-11-30
70,DG6SCF-R,/bbgid/BBG000BMZ7P7,KSU US,SP500,,,2021-11-30
71,DGBZCC-R,/bbgid/BBG000R7Z112,DAL US,SP500,,,2021-11-30
72,DH79H0-R,/bbgid/BBG000BWSV34,WHR US,SP500,,,2021-11-30
73,DH7WLK-R,/bbgid/BBG000BHD8S7,DRE US,SP500,,,2021-11-30
74,DJBQ39-R,/bbgid/BBG000BM9RH1,CPRT US,SP500,,,2021-11-30
75,DJC2TN-R,/bbgid/BBG000BB5006,ADBE US,SP500,,,2021-11-30
76,DJC60R-R,/bbgid/BBG000BDXGP9,CAG US,SP500,,,2021-11-30
77,D3VZJC-R,/bbgid/BBG000BS5DR2,RHI US,SP500,,,2021-11-30
78,DMX4QY-R,/bbgid/BBG00YTS96G2,APA US,SP500,,,2021-11-30
79,DTKPJP-R,/bbgid/BBG000B9XYV2,AMT US,SP500,BG001,,2021-11-30
80,DXW84Y-R,/bbgid/BBG000BT7JW9,SNA US,SP500,,,2021-11-30
81,DXZQS6-R,/bbgid/BBG000NSCNT7,PFG US,SP500,,,2021-11-30
82,D68983-R,/bbgid/BBG000BFVXX0,CMS US,SP500,,,2021-11-30
83,F07Q7W-R,/bbgid/BBG000H3YXF8,CTAS US,SP500,BG001,,2021-11-30
84,F17SJ1-R,/bbgid/BBG000BB6G37,ADI US,SP500,,,2021-11-30
85,D8D820-R,/bbgid/BBG000BS9489,OMC US,SP500,,,2021-11-30
86,F1DFCD-R,/bbgid/BBG000BR54L0,PHM US,SP500,,,2021-11-30
87,FBCHQC-R,/bbgid/BBG000BNGTQ7,BBWI US,SP500,,,2021-11-30
88,F1DNTM-R,/bbgid/BBG000BS73J1,RJF US,SP500,,,2021-11-30
89,FR4YZK-R,/bbgid/BBG0088CYPX8,NLSN US,SP500,,,2021-11-30
90,FJ1B1C-R,/bbgid/BBG000BBHXQ3,AJG US,SP500,,,2021-11-30
91,FH1NKL-R,/bbgid/BBG000BN5HF7,LEN US,SP500,,,2021-11-30
92,F05QG0-R,/bbgid/BBG000P458P3,DPZ US,SP500,,,2021-11-30
93,FMDS8D-R,/bbgid/BBG000BTCH57,CHRW US,SP500,,,2021-11-30
94,FPPSQ1-R,/bbgid/BBG000C4LN67,GRMN US,SP500,,,2021-11-30
95,FV824M-R,/bbgid/BBG000FDBX90,CNP US,SP500,,,2021-11-30
96,FPTJVK-R,/bbgid/BBG000BT1715,SJM US,SP500,,,2021-11-30
97,F82H8Q-R,/bbgid/BBG000CC7LQ7,ZBRA US,SP500,,,2021-11-30
98,FCK6QT-R,/bbgid/BBG000QY3XZ2,EXPE US,SP500,,,2021-11-30
99,FDS1XB-R,/bbgid/BBG000BJVN28,FRT US,SP500,,,2021-11-30
100,FDS65G-R,/bbgid/BBG000Q3JN03,RF US,SP500,,,2021-11-30
101,FFQNC3-R,/bbgid/BBG000C1S2X2,VRTX US,SP500,,,2021-11-30
102,FS32CR-R,/bbgid/BBG000BJ8YN7,FAST US,SP500,,,2021-11-30
103,DRBC9M-R,/bbgid/BBG000BKR1D6,GWW US,SP500,,,2021-11-30
104,FJ4J4C-R,/bbgid/BBG000BHKYH4,ECL US,SP500,,,2021-11-30
105,DTKZ1Y-R,/bbgid/BBG000BCTLF6,BAC US,SP500,,,2021-11-30
106,DLSMXK-R,/bbgid/BBG000BX3BL3,WY US,SP500,,,2021-11-30
107,DXVDJ4-R,/bbgid/BBG000KLB4Q1,SWKS US,SP500,,,2021-11-30
108,FT7VMB-R,/bbgid/BBG000BRNGM2,ATO US,SP500,,,2021-11-30
109,FJ4NDH-R,/bbgid/BBG000BSBZH7,ROST US,SP500,,,2021-11-30
110,FJ8GT6-R,/bbgid/BBG000BND699,NXPI US,SP500,,,2021-11-30
111,FQJDL3-R,/bbgid/BBG0035M2ZB7,NWS US,SP500,,,2021-11-30
112,F1B8CH-R,/bbgid/BBG000VPGNR2,CHTR US,SP500,,,2021-11-30
113,FQYW7Q-R,/bbgid/BBG000MQ1SN9,DVA US,SP500,,,2021-11-30
114,FS319Q-R,/bbgid/BBG000BJ81C1,TRV US,SP500,,,2021-11-30
115,F9VYPD-R,/bbgid/BBG0078W3NQ3,HPE US,SP500,,,2021-11-30
116,FBB432-R,/bbgid/BBG000BQSQ38,PAYX US,SP500,,,2021-11-30
117,FQZF97-R,/bbgid/BBG000F1ZSN5,ROP US,SP500,BG001,,2021-11-30
118,FXTG1M-R,/bbgid/BBG0059FN811,KEYS US,SP500,,,2021-11-30
119,G4GB6B-R,/bbgid/BBG000BV4DR6,TER US,SP500,,,2021-11-30
120,GX5LJC-R,/bbgid/BBG000BYYLS8,TFC US,SP500,,,2021-11-30
121,GYM5PB-R,/bbgid/BBG0019LSQ49,FRC US,SP500,,,2021-11-30
122,GZF20K-R,/bbgid/BBG000BM5SR2,IP US,SP500,,,2021-11-30
123,G7VZQH-R,/bbgid/BBG000BKWSR6,HBAN US,SP500,,,2021-11-30
