,fsym_id,exdate,bbg_id,in_index,listing_currency
0,B04HL7-R,2021-03-04,BBG000BXNHY4,0,USD
1,B04V7K-R,2021-05-28,BBG000C0R327,1,CAD
2,B18RVB-R,2021-03-04,BBG000DX9JV7,0,USD
3,B1B7NQ-R,2021-03-25,BBG000MW3JB7,0,USD
4,B1C27H-R,2021-03-12,BBG000BJ5SS8,1,USD
5,B29NTD-R,2021-03-26,BBG000MG3Y65,0,USD
6,B2F8KN-R,2021-03-30,BBG000BLJWF3,0,USD
7,B2N1H0-R,2021-03-23,BBG000BGSJM5,0,USD
8,B3DLD3-R,2021-03-10,BBG000BB90B0,0,USD
9,B3H59J-R,2020-12-30,BBG000FPKJ21,0,USD
10,B5PGKM-R,2021-03-30,BBG000F8RCH1,0,USD
11,B6ZXQL-R,2021-05-28,BBG000DHPN63,1,USD
12,B71KBM-R,2021-03-24,BBG005NDTZZ7,0,USD
13,B81TLL-R,2021-03-19,BBG00KHY5S69,1,USD
14,B83FJZ-R,2021-03-22,BBG000F11JJ7,0,USD
15,B844XN-R,2021-03-08,BBG000C2S411,0,USD
16,B873PK-R,2021-03-30,BBG000BCSPR5,0,USD
17,B943ZQ-R,2021-03-15,BBG000BTNV54,0,USD
18,B97MP0-R,2021-03-18,BBG000B9Z0J8,1,USD
19,B97V26-R,2021-03-24,BBG000BMTX31,0,USD
20,BCD4JF-R,2021-03-30,BBG000BJP882,1,USD
21,BCHRDT-R,2021-05-28,BBG000BV7ZW8,1,CAD
22,BDHQGW-R,2021-03-18,BBG000BJMHG6,0,USD
23,BDMWDS-R,2021-03-12,BBG000DPP7S6,1,CAD
24,BDP2V1-R,2021-03-17,BBG000TGNSP8,0,USD
25,BFMPK2-R,2021-05-28,BBG00RDKMTW8,1,CAD
26,BFSLJ9-R,2021-03-17,BBG000BPQ0F6,0,USD
27,BFSQSF-R,2021-05-21,BBG000BMT0R7,1,CAD
28,BGCWZ0-R,2021-03-22,BBG00LV100N0,0,USD
29,BGVFTS-R,2021-04-30,BBG00HCX5VQ4,0,USD
30,BJ156L-R,2021-03-16,BBG000C01N85,0,CAD
31,BJ2HRV-R,2021-02-16,BBG000BT41Q8,1,USD
32,BK6JKQ-R,2021-03-15,BBG000BVDLH9,1,USD
33,BL6MWX-R,2021-03-19,BBG000C4HG85,0,USD
34,BL85VC-R,2021-03-17,BBG000BGRB25,0,USD
35,BNMF4Q-R,2021-03-12,BBG006D4PF48,0,USD
36,BNMLW8-R,2021-05-21,BBG000D5BDF6,1,CAD
37,BPPLYC-R,2020-12-23,BBG000BVRYH6,0,USD
38,BPQGG1-R,2021-03-25,BBG000BJQ0F0,0,USD
39,BQQGL4-R,2021-03-04,BBG00B8NWRF5,0,USD
40,BQVVZ8-R,2021-03-26,BBG000BLL051,0,USD
41,BQWWY7-R,2021-03-04,BBG000BMW2Z0,1,USD
42,BRWC0T-R,2021-03-31,BBG000BXPZB7,0,USD
43,BT4P4V-R,2021-03-31,BBG000TJM7F0,1,USD
44,BTJCBQ-R,2021-05-28,BBG003FX9C44,0,CAD
45,BV8JHF-R,2021-03-31,BBG000BC4JJ4,1,USD
46,BXD9Z5-R,2021-03-31,BBG000BKFNX9,0,USD
47,BXKBJW-R,2021-05-28,BBG000PXLSN9,0,CAD
48,BYJYYM-R,2021-03-03,BBG000BVMGF2,1,USD
49,BYKL46-R,2021-03-30,BBG000BB5B84,0,USD
50,BZNZRH-R,2021-03-19,BBG000BH37H2,0,USD
51,BZPFLX-R,2021-03-12,BBG000BL46Q4,1,USD
52,C0GXG1-R,2021-03-30,BBG004CYX1M0,0,USD
53,C0ZKS6-R,2021-03-30,BBG006FD67J9,1,CAD
54,C2083V-R,2020-04-29,BBG00CSG01W9,0,USD
55,C335D8-R,2021-03-30,BBG000K1T9L0,0,USD
56,C36Z5C-R,2021-03-30,BBG00GQVWWP4,0,USD
57,C46DK8-R,2021-03-15,BBG000BPPN67,1,USD
58,C49B95-R,2021-03-23,BBG000R3NQ37,0,USD
59,C4G7HM-R,2021-03-12,BBG000N7N3S6,0,USD
60,C5GXYC-R,2021-03-04,BBG000BM6788,1,USD
61,C5HXV9-R,2021-03-17,BBG000BQQKG9,0,CAD
62,C5P72D-R,2021-05-27,BBG000BGLFP7,0,USD
63,C6HXZD-R,2021-03-25,BBG000BJNV83,0,USD
64,C6N75F-R,2021-03-30,BBG000BLMXN8,0,USD
65,C7LQF3-R,2021-03-15,BBG000BMKQF2,0,USD
66,C7S5ZC-R,2021-03-16,BBG000FPK736,0,USD
67,C8WF4C-R,2021-03-12,BBG000FV1Z23,1,USD
68,C8Z5J2-R,2021-03-30,BBG000PNBZF5,0,USD
69,C9WF8G-R,2021-03-12,BBG000CTV5F0,0,USD
70,CD94SL-R,2021-03-30,BBG000G5FQQ8,1,CAD
71,CD9D7T-R,2021-03-30,BBG007QYXHZ9,0,USD
72,CDBJDW-R,2021-03-11,BBG000BZRV74,0,USD
73,CDHX5F-R,2021-03-30,BBG00265T6Q4,0,USD
74,CFG4FC-R,2020-09-24,BBG004M233H4,0,USD
75,CFG9RJ-R,2021-03-30,BBG000BLPL88,0,USD
76,CFJ279-R,2021-05-28,BBG000QBM0Z3,1,CAD
77,CG3M36-R,2021-03-16,BBG00B0VKL16,1,CAD
78,CGGG4R-R,2021-03-03,BBG000BPWXK1,1,USD
79,CGKFVK-R,2021-03-30,BBG000BYMDW4,1,CAD
80,CGLGTJ-R,2021-03-04,BBG000BGRMB1,0,USD
81,CHPZMX-R,2021-03-11,BBG000BRX064,0,USD
82,CLZ09Q-R,2021-03-12,BBG000BD1VR9,1,CAD
83,CN2XXH-R,2021-03-31,BBG000BR89C6,0,USD
84,CN4BLT-R,2021-03-09,BBG000BKLTP8,0,USD
85,CN862K-R,2021-03-16,BBG000KT0GV3,0,USD
86,CNCT76-R,2021-03-16,BBG00VHK1756,0,USD
87,CNFDYC-R,2021-03-11,BBG004HTNXJ1,0,USD
88,CP777M-R,2021-03-11,BBG000BGF8B5,0,USD
89,CQBWC5-R,2021-03-30,BBG000QKJ2S1,0,USD
90,CQCV51-R,2021-03-26,BBG000BY34Q2,1,CAD
91,CQCYC4-R,2021-03-12,BBG000LLRNX3,0,USD
92,CQJ4C2-R,2021-03-15,BBG000HQVS07,1,CAD
93,CST91V-R,2021-03-16,BBG000C33LV5,0,USD
94,CTT4XT-R,2021-03-15,BBG000C45B16,0,USD
95,CTYNJ1-R,2021-03-05,BBG000BK6MB5,1,USD
96,CW0MCZ-R,2021-03-12,BBG000Q1NMJ4,0,USD
97,CW1WT5-R,2021-03-17,BBG000HJPD21,0,USD
98,CX1BWR-R,2021-03-16,BBG000BNSKG4,0,USD
99,CX1RP4-R,2021-03-11,BBG000BYN5H7,0,USD
100,CX6P1R-R,2021-05-27,BBG000PY5XQ1,1,CAD
101,CY9XBW-R,2021-03-30,BBG000BZ6FG2,1,CAD
102,CYB6Y5-R,2021-03-12,BBG000BMX289,1,USD
103,CYCD58-R,2021-03-30,BBG000BG6R50,0,USD
104,CYDD26-R,2021-03-30,BBG000PMY9R7,0,CAD
105,CZ9R4T-R,2021-03-31,BBG000BX2YN2,0,USD
106,D0JBW3-R,2021-03-24,BBG000GZ8014,0,USD
107,D0L8JX-R,2021-03-04,BBG000C402P5,0,USD
108,D1RT76-R,2021-03-12,BBG000BRX8P6,0,USD
109,D2X9YJ-R,2021-03-30,BBG000N5N6Z5,0,CAD
110,D3WHHV-R,2021-05-13,BBG000BS21R1,0,USD
111,D50TX0-R,2021-03-05,BBG00RQ70GQ2,0,USD
112,D64BQD-R,2021-03-05,BBG000M081B1,0,USD
113,D70L9L-R,2021-05-13,BBG000FV0NL0,0,USD
114,D76H2N-R,2020-03-30,BBG004G02108,0,CAD
115,D79MYG-R,2021-03-08,BBG000BCT053,1,CAD
116,D8D820-R,2021-03-09,BBG000BS9489,1,USD
117,D8K39K-R,2021-03-09,BBG000C0BZD1,0,USD
118,D9JX1G-R,2021-04-13,BBG000BWS3F3,0,USD
119,DCKZCP-R,2021-03-12,BBG003NXJNH6,0,USD
120,DCWPWS-R,2021-03-12,BBG000BWW8C0,1,CAD
121,DF336W-R,2021-03-02,BBG000BFXZH1,0,USD
122,DFZZD1-R,2021-03-30,BBG0022MMQB0,0,USD
123,DG6SCF-R,2021-03-05,BBG000BMZ7P7,1,USD
124,DH6WPM-R,2021-03-12,BBG000BTHH16,1,USD
125,DJD3SM-R,2021-03-30,BBG000BPYD87,0,USD
126,DJJ9XP-R,2021-03-30,BBG000PFLGY2,0,USD
127,DKB8F0-R,2021-03-30,BBG004HQLJH2,0,USD
128,DKJ8VM-R,2021-03-30,BBG000BS4MP5,1,USD
129,DKMPBT-R,2021-05-27,BBG000C88125,0,USD
130,DKNHXL-R,2021-03-11,BBG000BRQYZ6,0,USD
131,DLRTBS-R,2021-05-27,BBG000BT1MR4,0,USD
132,DLSMXK-R,2021-03-04,BBG000BX3BL3,1,USD
133,DLWPWK-R,2021-05-03,BBG000Q2BVH7,0,USD
134,DMRTGW-R,2021-03-30,BBG000DVB833,0,USD
135,DMRWLY-R,2021-03-11,BBG000BJ26K7,1,USD
136,DNSP7S-R,2021-03-25,BBG000QQFVK6,0,USD
137,DQ5M42-R,2021-02-11,BBG000BLLWV2,0,USD
138,DQ8HMS-R,2021-03-31,BBG000HF28Q9,0,USD
139,DR8RC7-R,2021-03-18,BBG000Q90C31,0,USD
140,DSG4N8-R,2021-03-30,BBG000BYFNG8,0,USD
141,DTKPJP-R,2021-04-12,BBG000B9XYV2,1,USD
142,DTKZ1Y-R,2021-03-04,BBG000BCTLF6,1,USD
143,DTL9Q8-R,2021-03-23,BBG000BG27V9,0,USD
144,DVLZ2Z-R,2020-12-03,BBG000C3HTJ7,0,USD
145,DXTTDL-R,2021-05-28,BBG000HJ82S6,1,CAD
146,DXV51X-R,2021-03-12,BBG000J0XLS5,1,CAD
147,DXVMZC-R,2021-03-12,BBG000F7VG25,0,USD
148,DXZQS6-R,2021-02-26,BBG000NSCNT7,1,USD
149,DZ4XT5-R,2021-03-30,BBG000BJTBJ9,1,CAD
150,F03K9Z-R,2021-03-04,BBG000BB92C5,0,USD
151,F03Z3C-R,2021-05-28,BBG000CVQ2M0,1,CAD
152,F05QG0-R,2021-03-12,BBG000P458P3,1,USD
153,F07DSQ-R,2021-03-30,BBG000QMKDM7,1,CAD
154,F1DFCD-R,2021-03-11,BBG000BR54L0,1,USD
155,F1DNTM-R,2021-03-31,BBG000BS73J1,1,USD
156,F2CT9X-R,2021-03-12,BBG00MT78G46,1,CAD
157,F2D739-R,2021-03-09,BBG000BCPB71,0,USD
158,F3PM46-R,2021-03-30,BBG000BL3355,0,USD
159,F4NVTL-R,2021-03-31,BBG000BGBRG2,1,USD
160,F4P26S-R,2021-03-15,BBG000BL86D4,0,USD
161,F5YSLP-R,2021-03-31,BBG000FB8PF8,0,USD
162,F61VZ2-R,2021-03-12,BBG00D6RSP54,0,USD
163,F86WNV-R,2021-05-27,BBG000BPKG12,0,USD
164,F9C4XY-R,2021-03-30,BBG000FLF615,0,USD
165,F9CCB4-R,2020-03-13,BBG000F9R281,0,USD
166,F9RYVG-R,2021-03-12,BBG008417VN4,0,USD
167,F9VYPD-R,2021-03-09,BBG0078W3NQ3,1,USD
168,FBCHQC-R,2020-03-27,BBG000BNGTQ7,1,USD
169,FBRH67-R,2021-03-12,BBG006BFYQN0,0,USD
170,FCGV6L-R,2021-03-16,BBG000BM0QL7,0,USD
171,FCHV3J-R,2021-05-28,BBG000GFD3R8,1,CAD
172,FCPJZW-R,2021-03-19,BBG000LJW7M9,0,USD
173,FDN05J-R,2021-03-10,BBG000BYFPY3,1,CAD
174,FDQM4Z-R,2021-05-28,BBG000DLD469,1,CAD
175,FDS1XB-R,2021-03-15,BBG000BJVN28,1,USD
176,FDS65G-R,2021-03-04,BBG000Q3JN03,1,USD
177,FDZBCQ-R,2021-03-12,BBG007HRJXJ3,0,USD
178,FFSWN7-R,2021-03-03,BBG002ZCK2V9,0,USD
179,FGVZR8-R,2021-03-30,BBG000BXL4N7,0,USD
180,FJ1B1C-R,2021-03-04,BBG000BBHXQ3,1,USD
181,FJ4J4C-R,2021-03-15,BBG000BHKYH4,1,USD
182,FJ4NDH-R,2021-03-15,BBG000BSBZH7,1,USD
183,FJ4S87-R,2021-03-16,BBG0068KVV91,0,USD
184,FJ8GT6-R,2021-03-12,BBG000BND699,1,USD
185,FK8XNL-R,2021-03-11,BBG000HHH6J1,0,USD
186,FL66M4-R,2020-02-11,BBG001VGVJF5,0,USD
187,FMDS8D-R,2021-03-04,BBG000BTCH57,1,USD
188,FMG70R-R,2021-03-18,BBG000BM9909,0,USD
189,FML2CC-R,2021-03-30,BBG000BJ9RS6,0,USD
190,FML4HF-R,2021-03-23,BBG000JNJPB0,0,USD
191,FNLD2R-R,2021-03-09,BBG000BGS5H1,0,USD
192,FPPSQ1-R,2021-03-12,BBG000C4LN67,1,USD
193,FPTS9S-R,2021-03-09,BBG000CJJ5B0,0,USD
194,FPVHPG-R,2021-05-28,BBG000BLKC01,1,CAD
195,FQV0X3-R,2021-03-11,BBG000BX0BJ9,0,USD
196,FR4YZK-R,2021-03-03,BBG0088CYPX8,1,USD
197,FS319Q-R,2021-03-09,BBG000BJ81C1,1,USD
198,FS79Z7-R,2021-03-11,BBG00P2HLNY3,0,USD
199,FV85BQ-R,2021-03-05,BBG000C1CPP7,1,CAD
