,fsym_id,exdate,bbg_id,in_index,listing_currency
0,B04V7K-R,2021-03-30,BBG000C0R327,1,CAD
1,B28MQ9-R,2021-01-14,BBG000BP02D2,0,USD
2,B2BZ5H-R,2020-12-10,BBG000BF1GD2,0,USD
3,B2YXGF-R,2021-01-28,BBG004N1KV84,0,USD
4,B3DVXC-R,2020-04-14,BBG000BJDB15,1,USD
5,B4L66G-R,2021-01-29,BBG000BQT4L6,1,USD
6,B6YRHH-R,2021-01-25,BBG000BRYD38,0,USD
7,B6ZXQL-R,2021-03-31,BBG000DHPN63,1,USD
8,BBV3KZ-R,2021-01-14,BBG00JGMWFM9,0,USD
9,BCD5LG-R,2021-01-26,BBG000CTV4N4,0,USD
10,BCHRDT-R,2021-03-30,BBG000BV7ZW8,1,CAD
11,BDQDB8-R,2021-01-04,BBG000NV1KK7,1,USD
12,BFMPK2-R,2021-03-30,BBG00RDKMTW8,1,CAD
13,BFSQSF-R,2021-03-19,BBG000BMT0R7,1,CAD
14,BGVFTS-R,2019-02-15,BBG00HCX5VQ4,0,USD
15,BK136M-R,2021-01-14,BBG000C42VL3,0,USD
16,BK5ZJ6-R,2021-01-29,BBG000BHLJW9,0,USD
17,BL5KVX-R,2021-02-04,BBG000F6H8W8,1,USD
18,BNFMGN-R,2021-01-22,BBG000BS2ZD1,0,USD
19,BNMLW8-R,2021-03-24,BBG000D5BDF6,1,CAD
20,BRYLF1-R,2020-12-30,BBG000DKDWS5,0,USD
21,BS21X5-R,2020-01-31,BBG000C4Q0W3,0,USD
22,BTBLFD-R,2020-01-30,BBG000BQ4Q61,0,USD
23,BTJCBQ-R,2021-03-30,BBG003FX9C44,0,CAD
24,BW92P1-R,2021-01-05,BBG000FFC0B3,1,USD
25,BWDZ2P-R,2021-01-13,BBG000D9D830,1,USD
26,BXKBJW-R,2021-03-30,BBG000PXLSN9,0,CAD
27,BZPTB8-R,2021-01-21,BBG000FSMWC3,0,USD
28,C11683-R,2020-01-15,BBG000L35KD5,0,USD
29,C4HBRT-R,2021-01-14,BBG0025Y4RY4,1,USD
30,C5P72D-R,2021-03-30,BBG000BGLFP7,0,USD
31,C7SKKL-R,2021-01-07,BBG000BDZMP4,0,USD
32,C8XJ7D-R,2021-01-29,BBG000BRDSX5,1,USD
33,C8XMFH-R,2021-01-28,BBG000BJM0H2,0,USD
34,CFJ279-R,2021-03-30,BBG000QBM0Z3,1,CAD
35,CHKL7S-R,2021-01-19,BBG000BNDN65,1,USD
