,fsym_id,exdate,bbg_id,in_index,listing_currency
0,B04HL7-R,11/25/2020,BBG000BXNHY4,0,USD
1,B04V7K-R,2/25/2021,BBG000C0R327,1,CAD
2,B14762-R,11/12/2020,BBG000C4FQG6,0,USD
3,B18RVB-R,12/3/2020,BBG000DX9JV7,0,USD
4,B1B7NQ-R,12/29/2020,BBG000MW3JB7,0,USD
5,B1C27H-R,12/14/2020,BBG000BJ5SS8,1,USD
6,B29NTD-R,12/29/2020,BBG000MG3Y65,0,USD
7,B2F8KN-R,12/30/2020,BBG000BLJWF3,0,USD
8,B2N1H0-R,12/22/2020,BBG000BGSJM5,0,USD
9,B3DLD3-R,12/2/2020,BBG000BB90B0,0,USD
10,B5PGKM-R,12/30/2020,BBG000F8RCH1,0,USD
11,B6V0BZ-R,11/10/2020,BBG000BCVG28,1,USD
12,B6V9Y8-R,11/9/2020,BBG000BQHTV3,0,USD
13,B6ZXQL-R,2/26/2021,BBG000DHPN63,1,USD
14,B71KBM-R,12/23/2020,BBG005NDTZZ7,0,USD
15,B7ZK4B-R,11/12/2020,BBG000BCHZL1,0,USD
16,B81TLL-R,12/18/2020,BBG00KHY5S69,1,USD
17,B83YJG-R,11/19/2020,BBG00H433CR2,1,USD
18,B844XN-R,12/7/2020,BBG000C2S411,0,USD
19,B873PK-R,12/30/2020,BBG000BCSPR5,0,USD
20,B943ZQ-R,12/15/2020,BBG000BTNV54,0,USD
21,B94X32-R,11/16/2020,BBG006TBN8B5,0,USD
22,B97MP0-R,12/17/2020,BBG000B9Z0J8,1,USD
23,B97V26-R,12/23/2020,BBG000BMTX31,0,USD
24,BCD4JF-R,12/30/2020,BBG000BJP882,1,USD
25,BCHRDT-R,2/25/2021,BBG000BV7ZW8,1,CAD
26,BDHQGW-R,12/17/2020,BBG000BJMHG6,0,USD
27,BDMWDS-R,12/14/2020,BBG000DPP7S6,1,CAD
28,BDP2V1-R,12/21/2020,BBG000TGNSP8,0,USD
29,BFMPK2-R,2/25/2021,BBG00RDKMTW8,1,CAD
30,BFMR8R-R,12/14/2020,BBG000F9XVR9,0,USD
31,BFSLJ9-R,12/4/2020,BBG000BPQ0F6,0,USD
32,BFSQSF-R,2/22/2021,BBG000BMT0R7,1,CAD
33,BGCWZ0-R,12/21/2020,BBG00LV100N0,0,USD
34,BHQMK5-R,8/14/2020,BBG00LNJWF43,0,USD
35,BJ156L-R,12/16/2020,BBG000C01N85,0,CAD
36,BK6JKQ-R,12/14/2020,BBG000BVDLH9,1,USD
37,BK6T2Z-R,12/17/2020,BBG000KFPB56,0,USD
38,BL6MWX-R,12/11/2020,BBG000C4HG85,0,USD
39,BL85VC-R,12/9/2020,BBG000BGRB25,0,USD
40,BNMF4Q-R,12/14/2020,BBG006D4PF48,0,USD
41,BNMLW8-R,2/24/2021,BBG000D5BDF6,1,CAD
42,BPQGG1-R,12/22/2020,BBG000BJQ0F0,0,USD
43,BQPZNP-R,9/14/2020,BBG000BS7ZJ0,0,USD
44,BQQGL4-R,12/10/2020,BBG00B8NWRF5,0,USD
45,BQVVZ8-R,1/5/2021,BBG000BLL051,0,USD
46,BQWH4V-R,11/27/2020,BBG000BWQ4C6,0,USD
47,BQWWY7-R,12/3/2020,BBG000BMW2Z0,1,USD
48,BRWC0T-R,12/31/2020,BBG000BXPZB7,0,USD
49,BT4P4V-R,1/7/2021,BBG000TJM7F0,1,USD
50,BTJCBQ-R,2/25/2021,BBG003FX9C44,0,CAD
51,BV8JHF-R,12/31/2020,BBG000BC4JJ4,1,USD
