,fsym_id,split_date,exdate,bbg_id,in_index,p_split_factor
0,B1B7NQ-R,2021-10-25,2021-09-29,BBG000MW3JB7,0,0.909090936
1,FPSXNZ-R,2021-10-28,2021-08-12,BBG000R7ZZX2,0,0.909090936
2,G8ZNW1-R,2021-10-12,1998-12-29,BBG000C1C526,0,0.769230783
3,NHN3Q2-R,2021-10-04,2017-08-29,BBG004K27P01,0,6.0
4,SMYF9N-R,2021-10-01,2021-09-28,BBG002QHCRX0,0,3.0
5,V5WMVF-R,2021-10-13,2021-08-19,BBG000BHCP19,1,0.5
6,W8YZJS-R,2021-10-26,2021-09-14,BBG000GT6BT6,1,0.5
