,fsym_id,exdate,bbg_id,in_index
296,R5XGXL-R,2020-10-08,BBG000BKCFC2,1
297,R887PW-R,2020-10-22,BBG000PKZDX4,0
298,RBHHTX-R,2020-12-30,BBG0039G71V4,1
299,RBKNXX-R,2020-10-23,BBG000Q6S3Z2,0
300,RC9616-R,2020-12-30,BBG00582TDZ7,1
301,RDKCLT-R,2020-11-06,BBG000BWHD54,1
302,RFQ1N9-R,2020-10-15,BBG000BXTNB0,0
303,RK3DL5-R,2020-10-30,BBG000FY4S11,1
304,RLHWHZ-R,2020-12-10,BBG000J0LC17,0
305,RMD5KL-R,2020-11-09,BBG000BY18P6,1
306,RPVXYM-R,2020-11-13,BBG000M9KP89,0
307,RQSKKH-R,2020-10-30,BBG000BF0672,0
308,RS2ZNF-R,2020-10-14,BBG000C3HB24,0
309,RVBRQX-R,2020-12-30,BBG000KN5J90,1
310,RVC5J9-R,2020-10-30,BBG000D8RG11,1
311,RXH4B6-R,2020-12-30,BBG000BDTV08,1
312,RYR8ZY-R,2020-10-30,BBG000BL18V7,0
313,RYTLD3-R,2020-12-22,BBG000C32KN7,0
314,RZXDWV-R,2020-10-22,BBG000BR2TH3,1
315,S24HNP-R,2020-11-06,BBG000BNKN21,0
316,S289Y8-R,2019-11-01,BBG000QDNDZ0,0
317,S3D6M4-R,2020-10-08,BBG000GGLZZ7,0
318,S6PC9W-R,2020-12-14,BBG000BDP1P1,1
319,S6ZVJX-R,2020-10-14,BBG000PQPCM6,0
320,S7Q76X-R,2020-12-30,BBG000C0GL92,0
321,S8MPCH-R,2020-10-30,BBG002537TC9,0
322,S8T91R-R,2020-07-31,BBG000G718L4,0
323,S8Z499-R,2020-11-09,BBG000BX24N8,1
324,SC6PG2-R,2020-10-07,BBG005T5RWR6,0
325,SD0F4T-R,2020-12-14,BBG004RXCMJ7,1
326,SD84W1-R,2020-10-15,BBG000BJ5G95,0
327,SDD8QX-R,2020-10-02,BBG000BF4DG3,0
328,SDKY5W-R,2020-12-30,BBG00L07HDN5,0
329,SGNT83-R,2020-11-06,BBG000BDYQR4,0
330,SHNDLT-R,2020-10-14,BBG000B9ZXB4,1
331,SJSMSW-R,2020-12-21,BBG000BCB3K9,1
332,SLG208-R,2020-12-03,BBG000QYBB54,0
333,SNC4KL-R,2020-10-30,BBG000M6TR37,0
334,SW586Q-R,2020-10-23,BBG000BM2GS0,0
335,SW683N-R,2020-10-01,BBG000BC2KW8,0
336,SW6SST-R,2020-01-29,BBG00HPBBSM2,0
337,SYKZRW-R,2020-12-14,BBG003LB3TH0,0
338,T0J5JB-R,2020-12-07,BBG000C3KB84,0
339,T1NTHS-R,2020-10-29,BBG000CLP0Y4,0
340,T1TZBM-R,2020-10-05,BBG000BBFFS2,0
341,T2TKPB-R,2020-12-21,BBG000BQYCB3,1
342,T2TNWF-R,2020-10-01,BBG000BTVJ25,1
343,T66XM6-R,2020-10-29,BBG000BLFSZ4,0
344,T7H5H1-R,2020-07-22,BBG000BG3445,1
345,TBXQQ1-R,2020-10-13,BBG000BHRMK9,0
346,TCX5SM-R,2020-12-30,BBG000BM1Q09,1
347,TD0J4R-R,2020-10-29,BBG000BWD8Y7,0
348,TDZFBZ-R,2020-10-29,BBG000BC2R71,0
349,TF8YGW-R,2020-10-08,BBG000QWLH09,0
350,TG94W1-R,2020-10-30,BBG000CLNSF6,0
351,TH9YHW-R,2020-12-14,BBG000BYQ263,0
352,TKPKXZ-R,2020-10-01,BBG000BJ3LL2,0
353,TKSJKR-R,2020-12-30,BBG000GN4ZY2,1
354,TLPRD7-R,2020-10-29,BBG00KXKRKY3,0
355,TP420X-R,2020-12-30,BBG000BYCJJ7,1
356,TPVMLM-R,2020-10-16,BBG00NNW6M44,0
357,TQ33B3-R,2020-11-27,BBG000BZH3D0,1
358,TW6KKV-R,2020-10-20,BBG0039320N9,1
359,TXX939-R,2020-10-07,BBG000BFF550,0
360,TYSRJ3-R,2020-12-30,BBG004P8YQ01,1
361,V06P89-R,2020-10-14,BBG000BFJFX3,0
362,V0LYTZ-R,2020-01-30,BBG003M3V230,0
363,V1HJ7P-R,2020-10-15,BBG000CWBQC2,0
364,V2GC4P-R,2020-10-08,BBG000HCXFS4,0
365,V2LL6N-R,2020-10-28,BBG000BFSND8,0
366,V3RWFQ-R,2020-10-23,BBG000BWBMM1,0
367,V60VXD-R,2020-12-30,BBG000BBW9W2,1
368,V888Y5-R,2020-11-27,BBG002PV93G6,0
369,VCNTLL-R,2020-10-29,BBG000BW6NY2,0
370,VCP8G0-R,2020-10-30,BBG000BRRN07,0
371,VDVMT4-R,2020-10-16,BBG000MRCDJ3,0
372,VFY8ZQ-R,2020-10-29,BBG000BC1L02,1
373,VGYKN2-R,2020-10-23,BBG000BCJG31,1
374,VH2Z16-R,2020-10-29,BBG000HH3LY6,0
375,VJ0NT5-R,2020-10-15,BBG003BW05K6,0
376,VK7116-R,2020-10-07,BBG000BGZL88,0
377,VK7M4R-R,2020-11-05,BBG000BR2B91,1
378,VK7P8T-R,2020-10-07,BBG000BBVDT8,0
379,VLHKF9-R,2020-10-08,BBG000BSJK37,1
380,VMM6HT-R,2020-12-30,BBG000HP1PC5,0
381,VNN3BR-R,2020-12-30,BBG000CK8Q69,1
382,VS55C3-R,2020-10-16,BBG000BVJNG0,0
383,VS5NDP-R,2020-12-30,BBG000TJ8XZ7,0
384,VT5051-R,2020-10-09,BBG000BZD8P0,1
385,VTBDG3-R,2020-10-08,BBG000QFJJW0,0
386,VYQVQ5-R,2019-12-05,BBG000BB3X33,0
387,W239Y6-R,2020-10-15,BBG000BWNV93,0
388,W3F6YL-R,2020-11-13,BBG000BTJ2T7,1
389,W4M154-R,2020-11-30,BBG000FRZWN9,0
390,W6TN0J-R,2020-10-15,BBG000FTTNV3,0
391,W7S6D8-R,2020-10-05,BBG000BXSXH3,1
392,W92Y2H-R,2020-10-14,BBG000BBTV11,0
393,WDHPSR-R,2020-10-30,BBG000BFYN41,0
394,WL1C5V-R,2020-12-30,BBG000DSZHQ9,1
395,WM5BXP-R,2020-11-10,BBG000C3GN47,1
396,WM8ZW3-R,2020-12-30,BBG000NV1YC6,1
397,WRJK92-R,2020-10-23,BBG00B6V7CJ6,0
398,WSVTH9-R,2020-07-23,BBG000CWKY26,0
399,WW31J8-R,2020-10-29,BBG000CTQBQ1,0
400,WW5K9M-R,2020-10-19,BBG00R1VTZR2,0
401,WYM3JN-R,2020-01-31,BBG000PMC5J8,0
402,X1Y52C-R,2020-12-14,BBG000PRZNN8,0
403,X46VSL-R,2020-11-09,BBG000BB2KN0,0
404,X4TV3J-R,2020-12-30,BBG001PG5MK8,0
405,X59RFD-R,2020-06-30,BBG000BL16Q7,0
406,X6BL48-R,2020-12-30,BBG000C2TQV8,0
407,X6FP15-R,2020-12-30,BBG000BM2C18,1
408,X8KXCB-R,2020-10-26,BBG000BVSPW7,0
409,XBV8KC-R,2020-12-14,BBG000BSL500,0
410,XGTLT4-R,2020-12-22,BBG0014JY842,0
411,XHD46K-R,2020-10-08,BBG000BP4MH0,1
412,XHSVLM-R,2020-12-30,BBG001P2KSC8,0
413,XKPX2X-R,2020-12-30,BBG000BBHGQ0,1
414,XM8P7T-R,2020-10-30,BBG0019JZ882,1
415,XP9358-R,2020-12-30,BBG000FRM7L0,0
416,K960HM-R,,BBG000Q39RP8,0
417,SJSS20-R,,BBG000C0Z6W8,0
418,XPLD03-R,,BBG000QP2SN6,0
419,JCP4S4-R,,BBG000F93FR7,0
420,LJ9023-R,,BBG000R0MG54,0
421,QR8VWZ-R,,BBG000CXNF22,0
422,RYT7QS-R,,BBG000BWRKR3,0
423,R856Y1-R,,BBG000DZQYV0,1
424,HTP9ZQ-R,,BBG000DDN6V3,0
425,FJWB59-R,,BBG00NR75V37,0
426,R4S089-R,,BBG000DH4YM4,1
427,RYTJNF-R,,BBG00RP5HYS8,1
428,WFM5K3-R,,BBG000K0VQL1,0
429,DQZWBT-R,,BBG000G7QX50,0
430,D9PBHM-R,,BBG000K9LLR8,0
