,fsym_id,exdate,bbg_id,in_index
0,B00FG1-R,2020-02-24,BBG00699HCV8,0
1,B04V7K-R,2021-01-28,BBG000C0R327,1
2,B19ST9-R,2020-11-12,BBG000BNBDC2,1
3,B2DCHG-R,2020-11-05,BBG002WMG9X8,0
4,B2DWV9-R,2020-11-13,BBG000BH63D2,0
5,B3G4BK-R,2020-11-30,BBG00D0Y81M1,1
6,B6VKDH-R,2020-11-13,BBG000BC9K06,0
7,B6ZP8C-R,2020-11-09,BBG000BKY1G5,1
8,B6ZXQL-R,2021-01-29,BBG000DHPN63,1
9,B8350Q-R,2020-10-22,BBG000BZNSD8,1
10,B973PJ-R,2020-11-13,BBG000F964B6,0
11,BCHRDT-R,2021-01-28,BBG000BV7ZW8,1
12,BDM513-R,2020-11-16,BBG000H65582,0
13,BFMPK2-R,2021-01-28,BBG00RDKMTW8,1
14,BFSQSF-R,2021-01-21,BBG000BMT0R7,1
15,BJ2HRV-R,2020-12-01,BBG000BT41Q8,1
16,BJ2P30-R,2020-02-06,BBG000MKW8B5,0
17,BK2FRW-R,2020-11-13,BBG000MDCQC2,1
18,BL5KVX-R,2020-12-01,BBG000F6H8W8,1
19,BM9QXX-R,2020-11-30,BBG000DKCC19,1
20,BMF291-R,2020-11-12,BBG000QCQ764,0
21,BMH9K4-R,2020-11-12,BBG000C3ZNH2,0
22,BNMLW8-R,2021-01-22,BBG000D5BDF6,1
23,BPKYVT-R,2020-11-04,BBG000BDTT76,0
24,BPRHF0-R,2020-11-12,BBG000BHGDH5,1
25,BQDDX6-R,2020-11-13,BBG005H82GB2,0
26,BQVD1T-R,2020-11-03,BBG000BY3302,0
27,BRWKF0-R,2020-11-20,BBG000BLXZN1,1
28,BS0FTN-R,2020-11-27,BBG000G21FS2,0
29,BS21X5-R,2020-01-31,BBG000C4Q0W3,0
30,BTJCBQ-R,2021-01-28,BBG003FX9C44,0
31,BV3ZV5-R,2020-11-13,BBG000BCSZT1,0
32,BV4P4T-R,2020-11-05,BBG000BB6M98,1
33,BV52Y6-R,2020-11-04,BBG000BLR3Y7,0
