fsym_id,sector,industry_group,industry,sub_industry,sub_industry_id,industry_id,industry_group_id,sector_id
P32F96-R,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Manufacturing Servi,45203020,452030,4520,45
PJPRSK-R,Consumer Discretionary,Automobiles & Components,Auto Components,Tires & Rubber,25101020,251010,2510,25
KZNLY8-R,Financials,Diversified Financials,Consumer Finance,Consumer Finance,40202010,402020,4020,40
DWZ08F-R,Financials,Banks,Banks,Diversified Banks,40101010,401010,4010,40
CHLPBT-R,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Manufacturing Servi,45203020,452030,4520,45
V3LF0L-R,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,10101020,101010,1010,10
Q1LDBW-R,Communication Services,Media & Entertainment,Media,Broadcasting,50201020,502010,5020,50
MFYB4M-R,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,40102010,401020,4010,40
GTX7BB-R,Real Estate,Real Estate,Equity Real Estate Investment,Office REITs,60101040,601010,6010,60
TJL23L-R,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,20106010,201060,2010,20
M1Y05B-R,Materials,Materials,Metals & Mining,Gold,15104030,151040,1510,15
KTBGHT-R,Information Technology,Software & Services,Software,Application Software,45103010,451030,4510,45
FWHKKR-R,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,40102010,401020,4010,40
HWSZ6B-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10102020,101020,1010,10
KSVQWG-R,Communication Services,Media & Entertainment,Media,Publishing,50201040,502010,5020,50
PFF98B-R,Real Estate,Real Estate,Equity Real Estate Investment,Specialized REITs,60101080,601010,6010,60
G6RN78-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,45301020,453010,4530,45
V9DZD1-R,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,20106010,201060,2010,20
NW7K6C-R,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S,45102020,451020,4510,45
SHMBPY-R,Utilities,Utilities,Electric Utilities,Electric Utilities,55101010,551010,5510,55
VBJY1V-R,Utilities,Utilities,Gas Utilities,Gas Utilities,55102010,551020,5510,55
GNCJW6-R,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products,30202010,302020,3020,30
