,fsym_id,split_date,exdate,bbg_id,in_index,p_split_factor
0,GC9695-R,2021-04-01,2021-02-26,BBG000BSXQV7,1,0.333333343
1,J2LLSX-R,2021-04-01,2021-01-29,BBG000QSM8F1,0,0.5
2,NFS9DS-R,2021-04-22,2020-02-21,BBG000BY2FL3,0,3000.0
