,fsym_id,split_date,exdate,bbg_id,in_index,p_split_factor
0,C7S5ZC-R,2021-09-16,2021-06-15,BBG000FPK736,0,0.333333343
1,F1DNTM-R,2021-09-22,2021-06-30,BBG000BS73J1,1,0.666666687
2,K4KM01-R,2021-09-16,2021-06-01,BBG000BCBS51,0,0.970873773
3,PZ96L2-R,2021-09-22,2015-07-20,BBG000D5LY14,0,10.0
