,fsym_id,exdate,bbg_id,in_index
540,N6SQBJ-R,2020-09-03 00:00:00,BBG000BCFXT0,0
541,N6T9G2-R,2020-03-13 00:00:00,BBG000BPXZ43,0
542,N6YZCG-R,2020-09-14 00:00:00,BBG000DZN289,0
543,N70LFZ-R,2020-09-29 00:00:00,BBG000J00LT0,0
544,N7Y0NN-R,2019-12-30 00:00:00,BBG000BFQ7K7,0
545,NB6DXQ-R,2018-11-29 00:00:00,BBG000BF8CB6,0
546,NDGZHY-R,2020-09-09 00:00:00,BBG000BZYZB2,1
547,NDLVXL-R,2020-09-29 00:00:00,BBG000BHRBT4,0
548,NGVZND-R,2020-06-12 00:00:00,BBG000BSQLT9,0
549,NGX46V-R,2020-09-14 00:00:00,BBG00R7TJRM5,0
550,NJ0MMV-R,2020-09-03 00:00:00,BBG000K712R6,0
551,NJ2G3K-R,2020-09-16 00:00:00,BBG000BW22R0,0
552,NK15TG-R,2020-09-09 00:00:00,BBG000BNFKK3,0
553,NK4TRW-R,2020-09-30 00:00:00,BBG000BWGK40,0
554,NMDHN8-R,2020-09-10 00:00:00,BBG000BBXVK5,0
555,NMFB71-R,2020-09-10 00:00:00,BBG000LK07B3,0
556,NMG2NR-R,2020-09-14 00:00:00,BBG000BHQP32,0
557,NNLKB1-R,2020-09-04 00:00:00,BBG000BVL497,0
558,NPK7YX-R,2020-09-30 00:00:00,BBG000BPXVJ6,1
559,NPPDWT-R,2020-09-29 00:00:00,BBG000BL6138,0
560,NPQGXT-R,2020-09-03 00:00:00,BBG000BKT8B1,0
561,NT37R4-R,2020-09-29 00:00:00,BBG000BC33T9,1
562,NV79M1-R,2020-09-09 00:00:00,BBG000BWCKB6,1
563,NV7JPX-R,2020-09-29 00:00:00,BBG0021H6Y05,0
564,NV7K28-R,2020-09-23 00:00:00,BBG000BLSL58,1
565,NVKZ25-R,2020-09-15 00:00:00,BBG000BG22J4,0
566,NW728X-R,2020-09-10 00:00:00,BBG000FQ6PY6,1
567,NW8BQ3-R,2020-10-02 00:00:00,BBG000G6Y5W4,1
568,NWCCGY-R,2020-09-15 00:00:00,BBG000BW0BB9,0
569,NWD9TC-R,2020-09-03 00:00:00,BBG00D5L3SS4,0
570,NXCXNK-R,2020-09-09 00:00:00,BBG000Q1GK24,0
571,NXHJJY-R,2020-09-15 00:00:00,BBG000BGY218,0
572,NXHLP0-R,2020-09-03 00:00:00,BBG000BGVW60,1
573,NXHT26-R,2020-09-29 00:00:00,BBG000C2DJ32,0
574,NYJB5S-R,2020-09-04 00:00:00,BBG000BZG9D8,1
575,NYJJKZ-R,2020-10-05 00:00:00,BBG000BS4616,0
576,NYN4GC-R,2020-09-29 00:00:00,BBG000BB0V03,0
577,NYNSPZ-R,2020-09-29 00:00:00,BBG000C12RY4,0
578,NZMC3R-R,2020-09-29 00:00:00,BBG0027Z6X10,0
579,NZMV05-R,2020-09-29 00:00:00,BBG000D7RKJ5,1
580,NZR8PJ-R,2020-09-29 00:00:00,BBG000M6X3B6,0
581,P01GQN-R,2020-09-29 00:00:00,BBG004DDDKH1,0
582,P0RK6R-R,2020-09-14 00:00:00,BBG000F5YH15,0
583,P0S146-R,2020-09-24 00:00:00,BBG000BDR7W8,0
584,P0Y5Z1-R,2020-09-24 00:00:00,BBG000BMLG72,0
585,P1X545-R,2020-09-02 00:00:00,BBG000KSL7D2,0
586,P2QM9P-R,2020-09-08 00:00:00,BBG00BDCNNF2,0
587,P46BWZ-R,2020-10-06 00:00:00,BBG000C49RT7,0
588,P5BP94-R,2020-09-09 00:00:00,BBG000BKZTP3,1
589,P5D2ZG-R,2020-09-04 00:00:00,BBG000Q8MHG4,0
590,P5FR40-R,2020-09-14 00:00:00,BBG000BCXNS3,0
591,P6GVC4-R,2020-09-29 00:00:00,BBG000D6PCT6,0
592,P6MG4G-R,2020-09-10 00:00:00,BBG000BR5494,0
593,P7R6F2-R,2020-09-21 00:00:00,BBG000DZXPQ7,0
594,PC2KK2-R,2020-09-17 00:00:00,BBG000BMZ5P1,1
595,PC4Y29-R,2020-10-08 00:00:00,BBG000BP3NW2,0
596,PD98GG-R,2020-09-02 00:00:00,BBG000BKZB36,1
597,PFF98B-R,2020-09-14 00:00:00,BBG000BQX2N3,1
598,PGDZT4-R,2020-10-29 00:00:00,BBG000DBVBY4,0
599,PGJW6S-R,2020-09-14 00:00:00,BBG000BZC425,1
600,PGK4R1-R,2020-09-04 00:00:00,BBG000CBC7D8,0
601,PGKD68-R,2020-09-24 00:00:00,BBG000BB7SX7,0
602,PGQCV2-R,2020-09-14 00:00:00,BBG0017DRN10,1
603,PHK827-R,2020-09-01 00:00:00,BBG000BW2FF4,0
604,PJPH89-R,2020-09-04 00:00:00,BBG000MM5MW7,0
605,PJSRHC-R,2020-09-29 00:00:00,BBG000BY3T87,0
606,PKCPQ6-R,2020-09-29 00:00:00,BBG001J4J8T9,0
607,PKY50L-R,2020-09-15 00:00:00,BBG000BFPK65,1
608,PKZ63P-R,2020-09-29 00:00:00,BBG000BJ96T1,0
609,PM25TG-R,2020-09-29 00:00:00,BBG000BNHRC5,0
610,PM2MNW-R,2020-09-14 00:00:00,BBG000BKGXQ4,0
611,PM3QRX-R,2020-09-29 00:00:00,BBG000JV4WQ7,0
612,PM7SNW-R,2020-09-29 00:00:00,BBG003LNXS47,0
613,PN2C8Q-R,2020-09-14 00:00:00,BBG000FBKL27,0
614,PN68RD-R,2020-09-30 00:00:00,BBG000C4S3P3,0
615,PN6Y00-R,2020-09-14 00:00:00,BBG000BP6LJ8,1
616,PPCFQB-R,2020-02-05 00:00:00,BBG000DXXYS1,0
617,PPCTFP-R,2020-09-03 00:00:00,BBG000DH7JK6,1
618,PQC5B5-R,2020-09-29 00:00:00,BBG000BBBFD2,0
619,PRHBD5-R,2020-09-14 00:00:00,BBG000BB4LK9,1
620,PRKZKS-R,2020-09-29 00:00:00,BBG000M1J270,0
621,PRMD3Z-R,2020-09-03 00:00:00,BBG000D0PTF7,1
622,PRN6TW-R,2020-09-18 00:00:00,BBG000VYSJH0,0
623,PSLKQB-R,2020-09-17 00:00:00,BBG0054B20Z8,0
624,PSM3QT-R,2020-09-02 00:00:00,BBG000BNLC97,0
625,PSSGYV-R,2020-09-21 00:00:00,BBG000FF0R27,0
626,PTS5HN-R,2020-09-14 00:00:00,BBG000BF1Z04,0
627,PTS6KP-R,2020-09-29 00:00:00,BBG000C3MXG5,0
628,PWDMW4-R,2020-09-10 00:00:00,BBG001K9JH07,0
629,PX77L1-R,2020-09-10 00:00:00,BBG000PWTD92,0
630,PXYJ1Y-R,2020-12-23 00:00:00,BBG000HXB5R5,0
631,PY4RZT-R,2020-08-24 00:00:00,BBG000C23YB1,0
632,PY8XXQ-R,2020-09-14 00:00:00,BBG000H7LBD3,0
633,PZ917X-R,2020-09-29 00:00:00,BBG000BLKK03,1
634,PZF9CX-R,2020-08-14 00:00:00,BBG000BGZP70,0
635,Q148Y4-R,2020-09-17 00:00:00,BBG002B67HB2,0
636,Q1KLV4-R,2020-09-14 00:00:00,BBG000BBMNG0,0
637,Q1LDBW-R,2020-09-14 00:00:00,BBG000C78J55,1
638,Q1QBWL-R,2020-10-02 00:00:00,BBG000BWPP85,0
639,Q1SQJY-R,2020-09-04 00:00:00,BBG000PXNF64,0
640,Q2W7B8-R,2020-09-14 00:00:00,BBG000GQ7K93,0
641,Q2XGTK-R,2020-02-27 00:00:00,BBG000PTLGZ1,0
642,Q404Y1-R,2020-09-29 00:00:00,BBG000TV2CY3,0
643,Q52702-R,2020-08-31 00:00:00,BBG000C29XD5,0
644,Q67PK9-R,2020-10-01 00:00:00,BBG000BJZM26,0
645,Q68PG7-R,2020-09-21 00:00:00,BBG000BWBW76,0
646,Q68VSD-R,2020-09-21 00:00:00,BBG000DVS924,0
647,Q78D01-R,2020-09-14 00:00:00,BBG000BBD070,1
648,Q7CHYZ-R,2020-08-19 00:00:00,BBG000BCNF74,0
649,Q7CL31-R,2020-09-30 00:00:00,BBG000BZCZJ8,1
650,Q7GQ1Z-R,2020-09-29 00:00:00,BBG000BJZ7X5,0
651,Q8DBNV-R,2020-09-25 00:00:00,BBG000BM0597,0
652,Q8DK21-R,2020-09-29 00:00:00,BBG009NRNMY4,0
653,QCSD0F-R,2020-10-14 00:00:00,BBG000DPKKK0,0
654,QCXGT8-R,2020-09-10 00:00:00,BBG000FJH8W0,0
655,QDX24Z-R,2020-09-08 00:00:00,BBG000BN1M88,0
656,QDXTQT-R,2020-09-14 00:00:00,BBG000TKZRB3,0
657,QDY0ZW-R,2020-09-14 00:00:00,BBG000Q16PK4,0
658,QF1V8G-R,2020-09-17 00:00:00,BBG000BLGCB4,0
659,QG6H7X-R,2020-08-31 00:00:00,BBG000CRN4P5,0
660,QH5KM4-R,2020-09-30 00:00:00,BBG000BF8CN3,0
661,QJ9QP4-R,2020-09-24 00:00:00,BBG000BG8M31,1
662,QJG307-R,2020-09-14 00:00:00,BBG000PS4BM7,0
663,QJGGQL-R,2020-09-03 00:00:00,BBG000BN63B1,0
664,QJHLWN-R,2020-09-03 00:00:00,BBG000C4PLF7,0
665,QJKQYN-R,2020-09-14 00:00:00,BBG000QDQ4F9,1
666,QLR2CV-R,2020-09-01 00:00:00,BBG000BSBQ78,0
667,QLRPKF-R,2020-09-14 00:00:00,BBG000BD1HP2,1
668,QNVNGD-R,2020-09-10 00:00:00,BBG00D1WNBL6,0
669,QQ386R-R,2020-09-30 00:00:00,BBG000BZ5VW0,0
670,QQ42ND-R,2020-09-03 00:00:00,BBG000K1XDF3,1
671,QR495P-R,2020-09-03 00:00:00,BBG000BBSJ28,0
672,QR4XHD-R,2020-08-21 00:00:00,BBG000V108H6,0
673,QR580L-R,2020-09-14 00:00:00,BBG000DLWWK0,0
