,fsym_id,exdate,bbg_id,in_index,listing_currency
0,B04HL7-R,2021-06-03,BBG000BXNHY4,0,USD
1,B04V7K-R,2021-08-30,BBG000C0R327,1,CAD
2,B0TXKG-R,2020-02-26,BBG001J2R5H3,0,USD
3,B18RVB-R,2021-06-03,BBG000DX9JV7,0,USD
4,B1B7NQ-R,2021-06-24,BBG000MW3JB7,0,USD
5,B1C27H-R,2021-06-14,BBG000BJ5SS8,1,USD
6,B29NTD-R,2021-06-28,BBG000MG3Y65,0,USD
7,B2F8KN-R,2021-06-29,BBG000BLJWF3,0,USD
8,B2N1H0-R,2021-06-22,BBG000BGSJM5,0,USD
9,B3DLD3-R,2021-06-03,BBG000BB90B0,0,USD
10,B5PGKM-R,2021-06-29,BBG000F8RCH1,0,USD
11,B6ZXQL-R,2021-08-31,BBG000DHPN63,1,USD
12,B71KBM-R,2021-06-24,BBG005NDTZZ7,0,USD
13,B81TLL-R,2021-06-21,BBG00KHY5S69,1,USD
14,B83FJZ-R,2021-06-22,BBG000F11JJ7,0,USD
15,B844XN-R,2021-06-07,BBG000C2S411,0,USD
16,B873PK-R,2021-06-29,BBG000BCSPR5,0,USD
17,B943ZQ-R,2021-06-15,BBG000BTNV54,0,USD
18,B97MP0-R,2021-06-15,BBG000B9Z0J8,1,USD
19,B97V26-R,2021-06-23,BBG000BMTX31,0,USD
20,BCD4JF-R,2021-06-29,BBG000BJP882,1,USD
21,BCHRDT-R,2021-08-30,BBG000BV7ZW8,1,CAD
22,BDHQGW-R,2021-06-17,BBG000BJMHG6,0,USD
23,BDL0BJ-R,2020-11-20,BBG005ZVDK48,0,USD
24,BDMWDS-R,2021-06-14,BBG000DPP7S6,1,CAD
25,BDP2V1-R,2021-06-16,BBG000TGNSP8,0,USD
26,BFSLJ9-R,2021-06-17,BBG000BPQ0F6,0,USD
27,BFSQSF-R,2021-08-20,BBG000BMT0R7,1,CAD
28,BGCWZ0-R,2021-06-22,BBG00LV100N0,0,USD
29,BGVFTS-R,2021-06-11,BBG00HCX5VQ4,0,USD
30,BJ156L-R,2021-06-15,BBG000C01N85,0,CAD
31,BK6JKQ-R,2021-06-14,BBG000BVDLH9,1,USD
32,BL6MWX-R,2021-06-11,BBG000C4HG85,0,USD
33,BL85VC-R,2021-06-16,BBG000BGRB25,0,USD
34,BNMF4Q-R,2021-06-14,BBG006D4PF48,0,USD
35,BNMLW8-R,2021-08-24,BBG000D5BDF6,1,CAD
36,BPQGG1-R,2021-06-24,BBG000BJQ0F0,0,USD
37,BQPZNP-R,2021-03-12,BBG000BS7ZJ0,0,USD
38,BQQGL4-R,2021-06-03,BBG00B8NWRF5,0,USD
39,BQVVZ8-R,2021-06-25,BBG000BLL051,0,USD
40,BQWWY7-R,2021-06-03,BBG000BMW2Z0,1,USD
41,BT4P4V-R,2021-06-30,BBG000TJM7F0,1,USD
42,BTJCBQ-R,2021-08-30,BBG003FX9C44,0,CAD
43,BV3N5V-R,2020-03-12,BBG000C46HM9,1,USD
44,BV8JHF-R,2021-06-30,BBG000BC4JJ4,1,USD
45,BXD9Z5-R,2021-06-30,BBG000BKFNX9,0,USD
46,BXKBJW-R,2021-08-30,BBG000PXLSN9,0,CAD
47,BYKL46-R,2021-06-29,BBG000BB5B84,0,USD
48,BZNZRH-R,2021-06-14,BBG000BH37H2,0,USD
49,BZPFLX-R,2021-06-14,BBG000BL46Q4,1,USD
50,C0GXG1-R,2021-06-29,BBG004CYX1M0,0,USD
51,C0ZKS6-R,2021-06-29,BBG006FD67J9,1,CAD
52,C2083V-R,2021-06-29,BBG00CSG01W9,0,USD
53,C335D8-R,2021-06-29,BBG000K1T9L0,0,USD
54,C36Z5C-R,2021-06-29,BBG00GQVWWP4,0,USD
55,C46DK8-R,2021-06-14,BBG000BPPN67,1,USD
56,C49B95-R,2021-06-22,BBG000R3NQ37,0,USD
57,C5GXYC-R,2021-06-03,BBG000BM6788,1,USD
58,C5HXV9-R,2021-06-21,BBG000BQQKG9,0,CAD
59,C5P72D-R,2021-08-30,BBG000BGLFP7,0,USD
60,C6HXZD-R,2021-06-24,BBG000BJNV83,0,USD
61,C6N75F-R,2021-06-29,BBG000BLMXN8,0,USD
62,C7LQF3-R,2021-06-21,BBG000BMKQF2,0,USD
63,C7V3J1-R,2020-03-30,BBG000FRRNC0,1,CAD
64,C8WF4C-R,2021-06-11,BBG000FV1Z23,1,USD
65,C8Z5J2-R,2021-06-29,BBG000PNBZF5,0,USD
66,C9WF8G-R,2021-06-14,BBG000CTV5F0,0,USD
67,CD94SL-R,2021-06-29,BBG000G5FQQ8,1,CAD
68,CD9D7T-R,2021-06-29,BBG007QYXHZ9,0,USD
69,CDBJDW-R,2021-06-03,BBG000BZRV74,0,USD
70,CDHX5F-R,2021-06-29,BBG00265T6Q4,0,USD
71,CFG4FC-R,2021-06-18,BBG004M233H4,0,USD
72,CFG9RJ-R,2021-06-25,BBG000BLPL88,0,USD
73,CFJ279-R,2021-08-30,BBG000QBM0Z3,1,CAD
74,CG3M36-R,2021-06-08,BBG00B0VKL16,1,CAD
75,CGGG4R-R,2021-06-02,BBG000BPWXK1,1,USD
76,CGKFVK-R,2021-06-29,BBG000BYMDW4,1,CAD
77,CGLGTJ-R,2021-06-03,BBG000BGRMB1,0,USD
78,CHPZMX-R,2021-06-10,BBG000BRX064,0,USD
79,CHR1NX-R,1996-05-07,BBG000C5Z1S3,1,USD
80,CLZ09Q-R,2021-06-14,BBG000BD1VR9,1,CAD
81,CN2XXH-R,2021-06-30,BBG000BR89C6,0,USD
82,CN4BLT-R,2021-06-09,BBG000BKLTP8,0,USD
83,CN862K-R,2021-06-15,BBG000KT0GV3,0,USD
84,CNFDYC-R,2021-06-10,BBG004HTNXJ1,0,USD
85,CP777M-R,2021-06-10,BBG000BGF8B5,0,USD
86,CQBWC5-R,2021-06-29,BBG000QKJ2S1,0,USD
87,CQCV51-R,2021-06-25,BBG000BY34Q2,1,CAD
88,CQCYC4-R,2021-06-14,BBG000LLRNX3,0,USD
89,CQJ4C2-R,2021-06-14,BBG000HQVS07,1,CAD
90,CST91V-R,2021-06-17,BBG000C33LV5,0,USD
91,CTT4XT-R,2021-06-14,BBG000C45B16,0,USD
92,CTYNJ1-R,2021-06-25,BBG000BK6MB5,1,USD
93,CW0MCZ-R,2021-06-14,BBG000Q1NMJ4,0,USD
94,CW1WT5-R,2021-06-17,BBG000HJPD21,0,USD
95,CX1BWR-R,2021-06-15,BBG000BNSKG4,0,USD
96,CX1RP4-R,2021-06-14,BBG000BYN5H7,0,USD
97,CX6P1R-R,2021-08-30,BBG000PY5XQ1,1,CAD
98,CY9XBW-R,2021-06-29,BBG000BZ6FG2,1,CAD
99,CYB6Y5-R,2021-06-14,BBG000BMX289,1,USD
100,CYCD58-R,2021-06-29,BBG000BG6R50,0,USD
101,CYDD26-R,2021-06-29,BBG000PMY9R7,0,CAD
102,CZ9R4T-R,2021-06-30,BBG000BX2YN2,0,USD
103,D0JBW3-R,2021-06-23,BBG000GZ8014,0,USD
