,fsym_id,listing_currency,payment_currency,declared_date,exdate,record_date,payment_date,payment_amount,div_type,div_freq,div_initiation,skipped,exdate_l1,payment_amount_l1,div_increase,bbg_id,bbg_ticker
46,F1DFCD-R,USD,USD,,2013-08-01,2013-08-05,2013-08-12,0.0500000007,regular,4,True,False,2008-12-18,0.0399999991,True,BBG000BR54L0,PHM US
47,F2J1J0-R,USD,USD,,1988-03-21,,1988-04-25,0.0500000007,regular,4,True,False,1982-03-09,0.100000024,False,BBG000HLQH80,
48,F3NM78-R,USD,USD,,2008-04-03,2008-04-02,2008-04-30,0.0625,regular,4,True,False,1999-03-02,0.007766666500000001,True,BBG000BFTJ91,
49,F5SQ99-R,CAD,CAD,,2010-05-27,2010-05-31,2010-06-04,3.5,regular,4,True,False,2006-05-11,0.0599999987,True,BBG000BCKY12,
50,F5SQ99-R,CAD,CAD,,2012-12-20,2012-12-24,2012-12-31,1.0,regular,1,True,False,2010-09-20,3.5,False,BBG000BCKY12,
51,F5WQ03-R,USD,USD,,1991-08-05,,1991-08-31,0.159999996,regular,4,True,False,1989-05-15,0.300000012,False,BBG000BQ1490,
52,F96WSY-R,CAD,CAD,,2018-03-19,2018-03-20,2018-04-02,0.075000003,regular,4,True,False,2015-08-26,0.300000012,False,BBG000C3CNZ7,
53,FBC2XZ-R,USD,USD,,2016-05-17,2016-05-19,2016-06-09,0.170000002,regular,4,True,False,1997-11-24,0.144999996,True,BBG000BB8PG1,
54,FBC521-R,USD,USD,,1987-02-02,,1987-02-20,0.03333333468333335,regular,4,True,False,1984-08-20,0.05000000352500006,False,BBG000C12NL7,
55,FCKBZY-R,CAD,CAD,,1995-12-11,1995-12-13,1995-12-29,0.150000006,regular,2,True,False,1992-12-08,0.150000006,False,BBG000CZK817,
56,FDQM4Z-R,CAD,CAD,,2005-04-27,2005-04-29,2005-05-16,0.046511629851162806,regular,4,True,False,1991-07-29,0.0465116296651163,True,BBG000DLD469,EXE CN
57,FNQFTK-R,USD,USD,,1988-02-03,,1988-03-01,0.125,regular,4,True,False,1985-07-31,0.125,False,BBG000DXJKZ9,
58,FNQFTK-R,USD,USD,,1995-04-04,,1995-05-01,0.0500000007,regular,4,True,False,1991-02-01,0.150000006,False,BBG000DXJKZ9,
59,FPPSQ1-R,USD,USD,,2008-11-26,2008-12-01,2008-12-15,0.75,regular,1,True,False,2007-08-13,0.75,False,BBG000C4LN67,GRMN US
60,FT7VMB-R,USD,USD,,1986-02-21,,1986-03-12,0.16666667175,regular,4,True,False,1984-08-21,0.2666666788000001,False,BBG000BRNGM2,ATO US
61,FWHKKR-R,USD,USD,,2019-08-29,2019-08-30,2019-09-20,0.0599999987,regular,4,True,False,2008-08-06,0.0250000004,True,BBG000CBMH27,MTG US
62,G25H2V-R,USD,USD,,1994-12-23,,1995-02-24,0.100000001,regular,4,True,False,1990-05-07,0.264999986,False,BBG000BFZ1K0,
63,G8WDMZ-R,USD,USD,,1993-06-09,,1993-06-30,0.01499999965,regular,4,True,False,1988-02-09,0.02500000035,False,BBG000BBVJZ8,DVN US
64,GGJNXG-R,USD,USD,,1996-02-28,1996-03-01,1996-03-15,0.100000001,regular,4,True,False,1992-09-10,0.0500000007,True,BBG000BQ0543,NL US
65,GGJNXG-R,USD,USD,,1998-05-28,1998-06-01,1998-06-16,0.0299999993,regular,4,True,False,1996-09-12,0.100000001,False,BBG000BQ0543,NL US
66,GGJNXG-R,USD,USD,2020-02-19,2020-03-02,2020-03-03,2020-03-17,0.04,regular,4,True,False,2013-12-03,0.125,False,BBG000BQ0543,NL US
67,GHNHB4-R,CAD,CAD,,2000-10-30,2000-11-01,2000-11-08,0.0549999995,regular,1,True,False,1998-08-10,0.0549999995,False,BBG000CHBFQ4,
68,GHNHB4-R,CAD,CAD,,2002-10-21,2002-10-23,2002-10-30,0.0549999995,regular,1,True,False,2000-10-30,0.0549999995,False,BBG000CHBFQ4,
69,GNCJW6-R,CAD,CAD,,2005-11-28,2005-11-30,2005-12-15,0.0299999993,regular,12,True,False,2004-07-28,0.106250003,False,BBG000BBFGG3,VFF CN
70,GPC46X-R,CAD,CAD,,2002-06-26,2002-06-28,2002-07-15,0.0500000007,regular,4,True,False,1989-05-03,0.100000001,False,BBG000FG7LN8,
71,GTX7BB-R,CAD,CAD,,2003-08-27,2003-09-01,2003-09-30,0.05000000345000005,regular,2,True,False,1992-11-05,0.0833333369166667,False,BBG000QVC7M9,
72,GX5LJC-R,USD,USD,,1986-01-13,,1986-02-01,0.040000003995555686,regular,4,True,False,1984-10-10,0.0733333406955558,False,BBG000BYYLS8,TFC US
73,H2VPCM-R,USD,USD,,1989-05-02,,1989-06-09,0.012500000175,regular,4,True,False,1984-08-07,0.02749999975,False,BBG000BBGGQ1,VLO US
74,H679XT-R,USD,USD,,2007-12-27,2007-12-31,2008-01-31,0.1700000016,regular,4,True,False,2001-02-28,0.2000000028,False,BBG00NNG2ZJ8,XRX US
75,H9SPFD-R,USD,USD,,1983-08-09,,1983-09-09,0.001666666726944444,regular,4,True,False,1981-08-11,0.00527777802513889,False,BBG000BK6L72,
76,HCXCQ1-R,CAD,CAD,,2003-04-01,2003-04-03,2003-05-15,0.009999999775,regular,2,True,False,2001-03-30,0.017500000075,False,BBG000BH2W88,SJ CN
77,HF1P15-R,USD,USD,,2013-08-01,2013-08-05,2013-08-15,0.125,regular,4,True,False,2009-01-29,0.0599999985,True,BBG000BJ49H3,BWA US
78,HJG212-R,USD,USD,,1998-12-23,1998-12-28,1999-01-27,0.13999999665,regular,4,True,False,1993-06-28,0.0700000003,True,BBG000BL8804,HST US
79,HJG212-R,USD,USD,,2004-11-26,2004-11-30,2004-12-20,0.0500000007,regular,4,True,False,2001-09-26,0.25999999,False,BBG000BL8804,HST US
80,HJG212-R,USD,USD,,2010-03-29,2010-03-31,2010-04-15,0.00999999978,regular,4,True,False,2008-12-29,0.0500000007,False,BBG000BL8804,HST US
81,HJGCMC-R,CAD,CAD,,1997-06-30,1997-07-03,1997-07-04,0.0250000004,regular,4,True,False,1996-02-16,0.0250000004,False,BBG000D0BPV2,PRMW CN
82,HJGCMC-R,CAD,CAD,,2012-11-30,2012-12-04,2012-12-20,0.0599999987,regular,4,True,False,1998-06-22,0.0250000004,True,BBG000D0BPV2,PRMW CN
83,HJMV1H-R,CAD,CAD,,2001-06-06,2001-06-08,2001-06-29,0.03333333660000011,regular,2,True,False,1991-09-19,0.010555556034444448,True,BBG000CDC049,
84,HMVVTC-R,USD,USD,,1984-04-16,,1984-04-13,0.0012345680685185278,regular,4,True,False,1982-04-08,0.0012345680685185278,False,BBG000BD0TF8,BEN US
85,HMVVTC-R,USD,USD,,1986-06-24,,1986-07-15,0.0011851853200987711,regular,4,True,False,1984-04-16,0.0012345680685185278,False,BBG000BD0TF8,BEN US
86,HMWK40-R,CAD,CAD,,2016-11-24,2016-11-28,2016-12-19,0.00999999978,regular,2,True,False,2015-06-26,0.00499999989,True,BBG000BSKFP2,SVM CN
87,HMWRJ6-R,USD,USD,,1989-08-04,,1989-09-10,0.100000001,regular,4,True,False,1985-08-06,0.100000024,False,BBG000K3T543,
88,HNZVK6-R,USD,USD,,2010-02-17,2010-02-19,2010-03-12,0.100000001,regular,4,True,False,2008-11-19,0.400000006,False,BBG000BF6LY3,CCL US
89,HVV49B-R,USD,USD,,1983-05-16,,1983-05-13,0.004115222595678662,regular,4,True,False,1980-09-23,0.004115222595678662,False,BBG000BR37X2,PGR US
90,HVV49B-R,USD,USD,,1987-09-04,,1987-09-30,0.002777777966666672,regular,4,True,False,1983-05-16,0.004115222595678662,False,BBG000BR37X2,PGR US
91,HVV49B-R,USD,USD,2009-12-14,2010-01-25,2010-01-27,2010-02-05,0.1613,regular,1,True,False,2009-01-16,0.0,True,BBG000BR37X2,PGR US
92,J2NPSW-R,USD,USD,,2011-01-06,2011-01-10,2011-01-20,0.0500000005,regular,4,True,False,2008-07-09,0.1000000015,False,BBG000CPQZ77,
93,J71YNR-R,CAD,USD,,2005-05-12,2005-05-16,2005-06-01,0.100000001,regular,4,True,False,1998-11-04,0.0250000004,True,BBG000JRGC14,
94,JCKM0T-R,CAD,CAD,,1995-05-26,,1995-06-15,0.07612890676128906,regular,4,True,False,1991-06-28,0.022838671267097658,True,BBG000H1W0L9,
95,JDV16T-R,CAD,CAD,,2004-08-11,2004-08-13,2004-09-07,0.009999999775,regular,4,True,False,2001-08-15,0.03249999875,False,BBG000BZTJQ8,QBR/B CN
96,JDYHV2-R,USD,USD,,1986-01-28,,1986-03-07,0.04583333066249989,regular,4,True,False,1984-10-26,0.03833333511166669,True,BBG000BRX7N0,
