bm_id,fsym_id,bbg_id,cnt
SP500,QMQV1Q-R,BBG000C8H633,2
SP500,QP3LLV-R,BBG000JYP7L8,2
SP500,QSDQCP-R,BBG000BWVCP8,2
SP500,QZ3ZG1-R,BBG000BN53G7,2
SP500,R2J99W-R,BBG000BMY992,2
SP500,PVW48J-R,BBG000C90DH9,2
SP500,PY50G1-R,BBG000BRD0D8,2
SP500,PY5KHK-R,BBG000BF0K17,2
SP500,PY5NPN-R,BBG00SSQFPK6,2
SP500,PZ917X-R,BBG000BLKK03,2
SP500,Q3VTNZ-R,BBG000FXW512,2
SP500,Q4YP8S-R,BBG005CPNTQ2,2
SP500,Q78D01-R,BBG000BBD070,2
SP500,QG1HR7-R,BBG000GZQ728,2
SP500,QHBXV5-R,BBG000BZ9223,2
SP500,QJ9QP4-R,BBG000BG8M31,2
SP500,QJBZ19-R,BBG000BVD6X4,2
SP500,P1P032-R,BBG00BLVZ228,2
SP500,P31DB7-R,BBG000G0Z878,2
SP500,P8R3C2-R,BBG000BPH459,2
SP500,PD98GG-R,BBG000BKZB36,2
SP500,PJNB5B-R,BBG000QBR5J5,2
SP500,PKY50L-R,BBG000BFPK65,2
SP500,PKZ95N-R,BBG000BW2QX0,2
SP500,PN37ZK-R,BBG000BHPL78,2
SP500,PN6Y00-R,BBG000BP6LJ8,2
SP500,PPCTFP-R,BBG000DH7JK6,2
SP500,PRGQ6L-R,BBG000BP1Q11,2
SP500,NXHLP0-R,BBG000BGVW60,2
SP500,NYJHHY-R,BBG000DYGNW7,2
SP500,NKGZ7J-R,BBG000QW7VC1,2
SP500,NFMH78-R,BBG00GBVBK51,2
SP500,NGW97P-R,BBG000BQHGR6,2
SP500,NHV4Q7-R,BBG00BN969C1,2
SP500,NNKD2Y-R,BBG000DMBXR2,2
SP500,NPJW7K-R,BBG000BB6KF5,2
SP500,NPK3PS-R,BBG000J6XT05,2
SP500,NPK7YX-R,BBG000BPXVJ6,2
SP500,NT37R4-R,BBG000BC33T9,2
SP500,NT38T5-R,BBG000BBDV81,2
SP500,NV79M1-R,BBG000BWCKB6,2
SP500,NV7K28-R,BBG000BLSL58,2
SP500,NW728X-R,BBG000FQ6PY6,2
SP500,MS57L1-R,BBG000KHWT55,2
SP500,MS9FKZ-R,BBG000BS5CM9,2
SP500,MVKZ35-R,BBG000BQ87N0,2
SP500,MVLTQZ-R,BBG000BCQZS4,2
SP500,MXZ7RW-R,BBG000PPFKQ7,2
SP500,MMRZQ5-R,BBG000BP8Z50,2
SP500,MQ0Y3T-R,BBG000BWGYF8,2
SP500,MQ119X-R,BBG000BB6WG8,2
SP500,N4P9L4-R,BBG000BX57K1,2
SP500,M67VFY-R,BBG000BCZL41,2
SP500,M7439D-R,BBG000BFDLV8,2
SP500,M79B89-R,BBG000C2BXK4,2
SP500,M79R1P-R,BBG000BPD168,2
SP500,MDYC2K-R,BBG000F86GP6,2
SP500,MG2TQV-R,BBG000BMQPL1,2
SP500,MH33D6-R,BBG000B9XRY4,2
SP500,MH7TCM-R,BBG000BJF1Z8,2
SP500,MJCGG4-R,BBG000BLHRS2,2
SP500,MKC1SV-R,BBG000BW8S60,2
SP500,MBK7R0-R,BBG000DB3KT1,2
SP500,MKJ8WW-R,BBG000RTDY25,2
SP500,M0C1P8-R,BBG000BV59Y6,2
SP500,M0H6M5-R,BBG000BBPFB9,2
SP500,M1FW60-R,BBG000BW3299,2
SP500,LTP0Z2-R,BBG000BGJRC8,2
SP500,LTP334-R,BBG000BK67C7,2
SP500,LVYTWF-R,BBG000KCZPC3,2
SP500,LX237L-R,BBG000BD2NY8,2
SP500,LY653H-R,BBG000C23KJ3,2
SP500,LQ766T-R,BBG00GVR8YQ9,2
SP500,LQBB5R-R,BBG000F1ZSQ2,2
SP500,LRK013-R,BBG000BJL3N0,2
SP500,LTN366-R,BBG00KXRCDP0,2
SP500,LBWNRX-R,BBG000BNC3Y9,2
SP500,LC1BTF-R,BBG000PSKYX7,2
SP500,LD0WYZ-R,BBG000BGKTF9,2
SP500,LHKN8Z-R,BBG000BQ2C28,2
SP500,LJQYJ1-R,BBG000BKPL53,2
SP500,LKPWM4-R,BBG000BTQR96,2
SP500,KK1SFD-R,BBG000DW4Q75,2
SP500,KK1YRK-R,BBG000CX0P89,2
SP500,KM5Q58-R,BBG000BSLZY7,2
