,fsym_id,exdate,bbg_id,in_index,listing_currency
93,D502G9-R,2021-02-09,BBG000BB9KF2,1,USD
94,D545SN-R,2021-02-18,BBG004WQKD07,0,USD
95,D5T7M2-R,2021-02-11,BBG00LMYX123,0,USD
96,D67D5X-R,2020-02-12,BBG00GQ30QD7,0,USD
97,D68983-R,2021-02-04,BBG000BFVXX0,1,USD
98,D70L9L-R,2021-04-15,BBG000FV0NL0,0,USD
99,D7D4QT-R,2021-03-19,BBG000Q5VCD4,0,USD
100,D8DLQB-R,2021-02-25,BBG000BG7423,1,USD
101,D9KK92-R,2021-02-12,BBG000BBHHP9,0,USD
102,D9P31D-R,2021-02-11,BBG000BP7RH6,0,USD
103,D9PWK4-R,2021-03-02,BBG000FQXC75,0,USD
104,D9RT6Y-R,2020-02-06,BBG000BM2FL9,0,USD
105,DBMQ4T-R,2021-02-25,BBG00D8JD9Z9,0,USD
106,DBNVQ8-R,2021-02-11,BBG000BC5WJ4,0,USD
107,DBSGLN-R,2021-03-12,BBG000QT3F73,0,USD
108,DF3WQM-R,2021-02-03,BBG000BYDP11,1,CAD
109,DG27Q5-R,2021-02-11,BBG000BHX7N2,1,USD
110,DH79H0-R,2021-02-25,BBG000BWSV34,1,USD
111,DH7WLK-R,2021-02-12,BBG000BHD8S7,1,USD
112,DHHJVD-R,2021-02-11,BBG000BFNLP4,0,USD
113,DKMPBT-R,2021-04-29,BBG000C88125,0,USD
114,DKMWR0-R,2021-02-26,BBG000C7QK61,0,USD
115,DLN18C-R,2021-02-18,BBG000F4DVC8,0,USD
116,DLRTBS-R,2021-04-29,BBG000BT1MR4,0,USD
117,DLWPWK-R,2021-04-01,BBG000Q2BVH7,0,USD
118,DM23R5-R,2020-12-01,BBG00L3DQTC6,0,USD
119,DNWLTJ-R,2021-02-11,BBG000BD9ZM7,0,USD
120,DNXNVJ-R,2021-02-19,BBG000BV95H9,1,USD
121,DNY1KW-R,2021-02-11,BBG000BQTMJ9,1,USD
122,DQ510J-R,2021-02-26,BBG000CZ8PQ6,1,CAD
123,DQZWBT-R,2021-02-26,BBG000G7QX50,0,USD
124,DRBC9M-R,2021-02-05,BBG000BKR1D6,1,USD
125,DS930J-R,2021-02-26,BBG000BP5FQ4,0,USD
126,DSJKY6-R,2021-01-29,BBG000Q4LGF7,0,USD
127,DSQWTZ-R,2020-01-31,BBG006NJXS29,0,USD
128,DTGV30-R,2021-01-29,BBG000BC6L61,0,USD
129,DVQFQ7-R,2021-02-18,BBG000D7P047,0,USD
130,DWV3VS-R,2021-02-24,BBG000PLLP24,0,USD
131,DWVHL4-R,2021-02-22,BBG000CWSZN2,0,USD
132,DXTTDL-R,2021-04-29,BBG000HJ82S6,1,CAD
133,DXVDJ4-R,2021-02-12,BBG000KLB4Q1,1,USD
134,DXW84Y-R,2021-02-22,BBG000BT7JW9,1,USD
135,DYZT1C-R,2020-03-05,BBG000CTM4J9,0,USD
136,DZ1P4N-R,2020-01-31,BBG00FQH6MJ5,0,USD
137,DZ4M6W-R,2021-02-04,BBG000JWS4F3,0,USD
138,F03Z3C-R,2021-04-29,BBG000CVQ2M0,1,CAD
139,F04DYS-R,2020-02-07,BBG000C1ZRQ7,0,USD
140,F066CG-R,2021-02-11,BBG000BF5QK8,0,USD
141,F07Q7W-R,2021-02-11,BBG000H3YXF8,1,USD
142,F17SJ1-R,2021-02-25,BBG000BB6G37,1,USD
143,F1DMRL-R,2021-02-23,BBG000D7HF89,0,USD
144,F1FF8B-R,2020-11-20,BBG000BJ9FN7,0,USD
145,F29RYJ-R,2021-02-11,BBG00NSBGFJ3,0,USD
146,F3HW5T-R,2021-02-26,BBG000BT9174,1,CAD
147,F3J0FY-R,2021-02-18,BBG00L17G133,0,USD
148,F3P22P-R,2021-03-05,BBG000BL5W86,0,USD
149,F4NL9B-R,2021-02-19,BBG000BD53V2,0,USD
150,F6YYD9-R,2021-02-26,BBG000BP3SJ6,0,USD
151,F72BWH-R,2021-02-11,BBG000BD2D25,0,USD
152,F84V9G-R,2021-02-04,BBG00BZSZZD5,0,USD
153,F86WNV-R,2020-05-28,BBG000BPKG12,0,USD
154,F8GSR8-R,2020-05-27,BBG0016Z24T1,0,USD
155,F9BFK8-R,2021-02-25,BBG000F161Q3,0,USD
156,FBB432-R,2021-01-29,BBG000BQSQ38,1,USD
157,FCCHG2-R,2020-02-27,BBG00B5CBKJ6,1,CAD
158,FCHV3J-R,2021-04-29,BBG000GFD3R8,1,CAD
159,FCMH1Y-R,2021-02-17,BBG000BHYLP8,0,USD
160,FCMSN7-R,2020-02-03,BBG000BJ7NF1,0,USD
161,FDQM4Z-R,2021-04-29,BBG000DLD469,1,CAD
162,FDS2ZC-R,2021-03-23,BBG000BKVYJ3,0,USD
163,FFKCF9-R,2021-02-26,BBG005PTVFQ1,0,USD
164,FGW76H-R,2021-03-10,BBG000BF6756,1,USD
165,FGWDJN-R,2021-02-11,BBG000CHSN07,0,CAD
166,FGWVD2-R,2021-02-26,BBG000J2W794,0,USD
167,FH0KGK-R,2020-04-22,BBG000GMHBH2,0,USD
168,FJ1HCJ-R,2019-12-09,BBG000BD9P67,0,USD
169,FJK5DC-R,2021-02-11,BBG001QD4318,0,USD
170,FK8VJJ-R,2021-03-15,BBG000C1LZX6,0,USD
171,FL275K-R,2021-02-11,BBG005KLVW13,0,USD
172,FL8FW7-R,2021-02-11,BBG000BJQTT2,0,USD
173,FLS8PQ-R,2021-03-17,BBG008200KW9,0,USD
174,FMDXJJ-R,2021-02-09,BBG000CTGXS2,0,USD
175,FNJW6B-R,2020-02-06,BBG000D3ZFH8,0,USD
176,FNKLL0-R,2021-02-25,BBG000C8D8G9,0,USD
177,FNMHRB-R,2021-03-25,BBG00FY0CZQ9,0,USD
178,FNNVT2-R,2021-02-11,BBG000CN80Y9,0,USD
179,FNNZ05-R,2021-03-08,BBG000LY1HS2,0,USD
180,FPSXNZ-R,2021-02-11,BBG000R7ZZX2,0,USD
181,FPTJVK-R,2021-02-11,BBG000BT1715,1,USD
182,FPVHPG-R,2021-04-29,BBG000BLKC01,1,CAD
183,FR01GT-R,2021-03-11,BBG000BWN2Y9,0,USD
184,FRN1RQ-R,2020-02-18,BBG001W55FM7,0,USD
185,FRZ5Z3-R,2021-02-24,BBG000BL0P40,0,USD
186,FT3PPF-R,2021-02-10,BBG000C1PFY5,0,USD
187,FT5NF8-R,2020-02-07,BBG000GJQQ22,0,USD
188,FT7VMB-R,2021-02-19,BBG000BRNGM2,1,USD
189,FT8DNV-R,2021-02-11,BBG000BP52R2,1,USD
190,FV6Z1L-R,2021-03-11,BBG000BCJVD7,0,USD
191,FV824M-R,2021-02-17,BBG000FDBX90,1,USD
192,FV9XPC-R,2021-04-29,BBG000HPX6W0,1,CAD
193,FW388C-R,2021-03-09,BBG0058YL7G9,0,USD
194,FWHKKR-R,2021-02-16,BBG000CBMH27,1,USD
195,FXM1B3-R,2021-02-17,BBG000C4Q6J5,0,USD
196,FZX0PQ-R,2021-02-09,BBG000BHXPK5,0,USD
197,G115RQ-R,2021-02-19,BBG000BB67F4,0,USD
198,G21ZDK-R,2021-02-26,BBG000PYJY93,0,USD
199,G35BYT-R,2021-02-09,BBG000H6K1B0,0,USD
200,G3949H-R,2021-02-25,BBG000QH56C1,1,USD
201,G3ZPT3-R,2021-03-10,BBG002Q7J5Z1,0,USD
202,G49K2V-R,2021-02-12,BBG000DGPR66,0,USD
203,G4GB6B-R,2021-02-18,BBG000BV4DR6,1,USD
204,G5M19V-R,2021-04-29,BBG000BVP5P2,1,USD
205,G6KS0R-R,2021-02-19,BBG000BMWV95,0,USD
206,G6M2HZ-R,2021-02-12,BBG000D6MRB5,0,USD
207,G900JC-R,2021-02-17,BBG000BGVC19,0,USD
208,G92RX2-R,2021-02-26,BBG000RJ2J04,0,USD
209,G9J2NY-R,2021-02-18,BBG006FCB019,0,USD
210,GBGMN9-R,2021-03-29,BBG001D2TV80,0,USD
211,GC9695-R,2021-02-26,BBG000BSXQV7,1,USD
212,GFJGD5-R,2021-02-25,BBG000BQC9V2,1,USD
213,GFJPVD-R,2021-02-05,BBG000CJSNX7,0,USD
214,GFW3V9-R,2021-02-10,BBG001DCR685,0,USD
215,GGKMRC-R,2021-03-05,BBG000GRZDV1,0,USD
216,GHRDWW-R,2021-02-09,BBG000FRNTH6,0,USD
217,GL3QQP-R,2021-02-24,BBG000BCSCB1,0,USD
218,GMDL3G-R,2021-02-25,BBG00W5FS571,0,USD
219,GMNVJW-R,2021-02-19,BBG000RQKCR4,0,USD
220,GPBJPZ-R,2021-03-08,BBG000MHBSQ5,0,USD
221,GPWHKD-R,2021-02-08,BBG001P717K5,0,USD
222,GQGP3B-R,2021-02-04,BBG000BP0929,1,USD
