,fsym_id,exdate,bbg_id,in_index,listing_currency
0,B04V7K-R,2021-11-29,BBG000C0R327,1,CAD
1,B0TXKG-R,2021-09-22,BBG001J2R5H3,0,USD
2,B18RVB-R,2021-09-02,BBG000DX9JV7,0,USD
3,B1C27H-R,2021-09-14,BBG000BJ5SS8,1,USD
4,B29NTD-R,2021-09-30,BBG000MG3Y65,0,USD
5,B2F8KN-R,2021-09-29,BBG000BLJWF3,0,USD
6,B2N1H0-R,2021-09-22,BBG000BGSJM5,0,USD
7,B3DLD3-R,2021-09-08,BBG000BB90B0,0,USD
8,B3H59J-R,2021-06-29,BBG000FPKJ21,0,USD
9,B5PGKM-R,2021-09-29,BBG000F8RCH1,0,USD
10,B6ZXQL-R,2021-11-30,BBG000DHPN63,1,USD
11,B71KBM-R,2021-09-23,BBG005NDTZZ7,0,USD
12,B81TLL-R,2021-09-21,BBG00KHY5S69,1,USD
13,B844XN-R,2021-09-03,BBG000C2S411,0,USD
14,B873PK-R,2021-09-29,BBG000BCSPR5,0,USD
15,B943ZQ-R,2021-09-14,BBG000BTNV54,0,USD
16,B97MP0-R,2021-09-16,BBG000B9Z0J8,1,USD
17,B97V26-R,2021-09-22,BBG000BMTX31,0,USD
18,BCD4JF-R,2021-09-29,BBG000BJP882,1,USD
19,BCHRDT-R,2021-11-29,BBG000BV7ZW8,1,CAD
20,BDHQGW-R,2021-09-16,BBG000BJMHG6,0,USD
21,BDMWDS-R,2021-09-14,BBG000DPP7S6,1,CAD
22,BFSLJ9-R,2021-09-10,BBG000BPQ0F6,0,USD
23,BFSQSF-R,2021-11-19,BBG000BMT0R7,1,CAD
24,BGCWZ0-R,2021-09-22,BBG00LV100N0,0,USD
25,BJ156L-R,2021-09-15,BBG000C01N85,0,CAD
26,BK6JKQ-R,2021-09-14,BBG000BVDLH9,1,USD
27,BK6T2Z-R,2021-11-12,BBG000KFPB56,0,USD
28,BL6MWX-R,2021-09-10,BBG000C4HG85,0,USD
29,BL85VC-R,2021-09-15,BBG000BGRB25,0,USD
30,BNMF4Q-R,2021-09-14,BBG006D4PF48,0,USD
31,BNMLW8-R,2021-11-24,BBG000D5BDF6,1,CAD
32,BPPLYC-R,2021-06-18,BBG000BVRYH6,0,USD
33,BPQGG1-R,2021-09-23,BBG000BJQ0F0,0,USD
34,BQQGL4-R,2021-09-02,BBG00B8NWRF5,0,USD
35,BQVVZ8-R,2021-09-24,BBG000BLL051,0,USD
36,BQWWY7-R,2021-09-09,BBG000BMW2Z0,1,USD
37,BRWC0T-R,2021-10-01,BBG000BXPZB7,0,USD
38,BRYLF1-R,2021-10-14,BBG000DKDWS5,0,USD
39,BTJCBQ-R,2021-11-29,BBG003FX9C44,0,CAD
40,BV3N5V-R,2021-09-14,BBG000C46HM9,1,USD
41,BV3ZV5-R,2021-08-27,BBG000BCSZT1,0,USD
42,BV8JHF-R,2021-09-30,BBG000BC4JJ4,1,USD
43,BXD9Z5-R,2021-09-30,BBG000BKFNX9,0,USD
