,fsym_id,split_date,exdate,bbg_id,in_index,p_split_factor
0,B04HL7-R,2021-06-24,2021-03-04,BBG000BXNHY4,0,0.909090996
1,CD9D7T-R,2021-06-03,2021-03-30,BBG007QYXHZ9,0,10.0
2,CHPZMX-R,2021-06-10,2021-03-11,BBG000BRX064,0,0.990099013
3,GX9CQX-R,2021-06-03,2021-03-30,BBG000BZ7HL1,1,10.0
4,H1PLJR-R,2021-06-21,2021-05-13,BBG000BHKJQ7,0,0.0500000007
5,H1W6C4-R,2021-06-08,2021-05-13,BBG000TGPLG1,0,4.0
6,LTP0Z2-R,2021-06-29,2021-05-27,BBG000BGJRC8,1,0.333333343
7,NMG2NR-R,2021-06-14,2021-03-12,BBG000BHQP32,0,0.961538434
